category,baseline_exposure,constrained_exposure,delta_exposure
base,0.025,0.035467300564050674,0.010467300564050673
2026-nfl-draft,0.025,0.03539431840181351,0.010394318401813506
awards,0.025,0.03539431840181351,0.010394318401813506
champions-league,0.025,0.03539431840181351,0.010394318401813506
california-midterm,0.025,0.03157983720302582,0.0065798372030258165
bundesliga,0.025,0.03130723908543587,0.006307239085435866
abraham-accords,0.025,0.03083217144012451,0.00583217144012451
basketball,0.025,0.03032875433564186,0.00532875433564186
extended,0.025,0.02980300411581993,0.00480300411581993
delaware-midterm,0.025,0.029044240713119507,0.0040442407131195054
2026-fifa-world-cup,0.025,0.02900981903076172,0.004009819030761717
democratic-primary,0.025,0.028663689270615578,0.0036636892706155763
colombia-election,0.025,0.02819974720478058,0.0031997472047805772
bernie-sanders,0.025,0.026269614696502686,0.0012696146965026842
anthropic,0.025,0.026250312104821205,0.0012503121048212038
big-tech,0.025,0.025981098413467407,0.0009810984134674058
elon-musk,0.025,0.025321001186966896,0.00032100118696689467
connecticut-primary,0.025,0.02520378865301609,0.000203788653016089
comex-gold-futures,0.025,0.024772103875875473,-0.00022789612412452837
brazil,0.025,0.024708453565835953,-0.00029154643416404863
business,0.025,0.024595273658633232,-0.00040472634136676927
acquisitions,0.025,0.024526447057724,-0.00047355294227600236
fdv,0.025,0.024119596928358078,-0.0008804030716419234
comex-silver-futures,0.025,0.02401941455900669,-0.0009805854409933104
fifa-world-cup,0.025,0.023309944197535515,-0.0016900558024644866
colorado-midterm,0.025,0.02299220860004425,-0.002007791399955751
crypto-prices,0.025,0.02294113300740719,-0.002058866992592813
bitcoin,0.025,0.02291068807244301,-0.002089311927556993
airdrops,0.025,0.021596550941467285,-0.0034034490585327162
foreign-policy,0.025,0.021489303559064865,-0.0035106964409351363
commodities,0.025,0.021487485617399216,-0.0035125143826007857
climate-science,0.025,0.019647058099508286,-0.005352941900491716
celebrities,0.025,0.019516119733452797,-0.0054838802665472045
2025-predictions,0.025,0.018711326643824577,-0.006288673356175424
felix,0.025,0.018016433343291283,-0.006983566656708719
epstein,0.025,0.017253482714295387,-0.007746517285704614
congress,0.025,0.016987605020403862,-0.00801239497959614
best-of-2025,0.025,0.0167996883392334,-0.008200311660766603
economic-policy,0.025,0.016409944742918015,-0.008590055257081987
claude-5,0.025,0.013744644820690155,-0.011255355179309846
