category,baseline_exposure,constrained_exposure,delta_exposure
2025-predictions,0.025,0.02500000037252903,3.725290284584126e-10
2026-fifa-world-cup,0.025,0.02500000037252903,3.725290284584126e-10
2026-nfl-draft,0.025,0.02500000037252903,3.725290284584126e-10
abraham-accords,0.025,0.02500000037252903,3.725290284584126e-10
acquisitions,0.025,0.02500000037252903,3.725290284584126e-10
airdrops,0.025,0.02500000037252903,3.725290284584126e-10
anthropic,0.025,0.02500000037252903,3.725290284584126e-10
awards,0.025,0.02500000037252903,3.725290284584126e-10
base,0.025,0.02500000037252903,3.725290284584126e-10
basketball,0.025,0.02500000037252903,3.725290284584126e-10
bernie-sanders,0.025,0.02500000037252903,3.725290284584126e-10
best-of-2025,0.025,0.02500000037252903,3.725290284584126e-10
big-tech,0.025,0.02500000037252903,3.725290284584126e-10
bitcoin,0.025,0.02500000037252903,3.725290284584126e-10
brazil,0.025,0.02500000037252903,3.725290284584126e-10
bundesliga,0.025,0.02500000037252903,3.725290284584126e-10
business,0.025,0.02500000037252903,3.725290284584126e-10
california-midterm,0.025,0.02500000037252903,3.725290284584126e-10
celebrities,0.025,0.02500000037252903,3.725290284584126e-10
champions-league,0.025,0.02500000037252903,3.725290284584126e-10
claude-5,0.025,0.02500000037252903,3.725290284584126e-10
climate-science,0.025,0.02500000037252903,3.725290284584126e-10
colombia-election,0.025,0.02500000037252903,3.725290284584126e-10
colorado-midterm,0.025,0.02500000037252903,3.725290284584126e-10
comex-gold-futures,0.025,0.02500000037252903,3.725290284584126e-10
comex-silver-futures,0.025,0.02500000037252903,3.725290284584126e-10
commodities,0.025,0.02500000037252903,3.725290284584126e-10
congress,0.025,0.02500000037252903,3.725290284584126e-10
connecticut-primary,0.025,0.02500000037252903,3.725290284584126e-10
crypto-prices,0.025,0.02500000037252903,3.725290284584126e-10
delaware-midterm,0.025,0.02500000037252903,3.725290284584126e-10
democratic-primary,0.025,0.02500000037252903,3.725290284584126e-10
economic-policy,0.025,0.02500000037252903,3.725290284584126e-10
elon-musk,0.025,0.02500000037252903,3.725290284584126e-10
epstein,0.025,0.02500000037252903,3.725290284584126e-10
extended,0.025,0.02500000037252903,3.725290284584126e-10
fdv,0.025,0.02500000037252903,3.725290284584126e-10
felix,0.025,0.02500000037252903,3.725290284584126e-10
fifa-world-cup,0.025,0.02500000037252903,3.725290284584126e-10
foreign-policy,0.025,0.02500000037252903,3.725290284584126e-10
