domain,total_contribution,contribution_share_of_total_return
best-of-2025,0.13273601398601406,0.4708470615397428
felix,0.08480598962609212,0.30082755852999127
colombia-election,0.03333333333333334,0.11824147478903865
airdrops,0.023805702674010366,0.08444464177693038
economic-policy,-0.018365533567739446,-0.06514703323011319
claude-5,0.017919752227396765,0.0635657379366466
colorado-midterm,0.015015488897067848,0.05326360655603212
comex-silver-futures,0.01017277546915853,0.036085319225131765
2026-fifa-world-cup,-0.010000000000000002,-0.0354724424367116
california-midterm,-0.010000000000000002,-0.0354724424367116
crypto-prices,-0.007756339377856406,-0.027513630210061073
climate-science,0.006792053574819455,0.02409307294598443
congress,-0.006476441012622148,-0.022973518101499724
acquisitions,-0.0058210784313725466,-0.020648786957644605
celebrities,0.005630117878585857,0.01997140323600376
bernie-sanders,-0.004058436645177718,-0.01439626602791075
abraham-accords,0.0035233267231702383,0.012498100437338394
business,-0.0028069153069153084,-0.009956814164927792
fdv,0.0024614172592113785,0.008731248204010403
base,0.0023939965142978138,0.00849209035471174
extended,0.0023521795301449486,0.0083437552983878
bitcoin,0.002137791211170496,0.007583267567995337
2025-predictions,0.002030213143535575,0.007201661886832096
foreign-policy,-0.001973168690227153,-0.006999311278200429
elon-musk,0.001874707043436985,0.006650043768401622
fifa-world-cup,0.001439521600356066,0.00510633471050335
big-tech,0.0012373737373737375,0.004389266867168859
comex-gold-futures,0.0011106602286622526,0.003939783102796668
democratic-primary,0.0008852689337102968,0.003140265129204755
commodities,-0.0008780870634801223,-0.003114789281371975
epstein,-0.0006274283763786543,-0.002225641696425123
connecticut-primary,-0.0005551443064606262,-0.001969232445499274
anthropic,-0.000295500809164325,-0.0010482135443083214
champions-league,-0.00021251474818681677,-0.0007538417172009116
bundesliga,7.595193693943106e-05,0.00026942007110407167
brazil,1.9309622228602316e-06,6.849594629787422e-06
basketball,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
