category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
2025-predictions,2.7394507381507023e-05,5.57398341775257e-10,0.0,2.472062771726443e-09,3.2830178315022995e-10,1.4507702201197376e-09,5.628790383584921e-11,0.0,1.3131314743627943e-10,-1.536838732660579e-07,-2.6929313217874063e-10,3.1641456774013266e-08,1.0498773812904894e-06,1.6100715965815576e-10,4.1915574395657664e-10,3.607946648420761e-11,-3.5566763346482246e-08,7.879057810302064e-09,4.1316746093736225e-10,1.0701025708123657e-10,3.1890742749679195e-06,1.2184081779714213e-07,2.7869917088760333e-09,1.8116911480063573e-09,4.269469751959774e-07,-1.18763044017058e-09,3.529700910900486e-10,5.1428310953870235e-11,6.674464986075866e-11,-5.615338765374085e-08,-4.5695805616312044e-10,4.570513850632222e-10,-2.2495468541941256e-09,3.8777090512488504e-10,-1.2073304400441943e-09,-2.1593669783100597e-10,4.728802517906049e-10,4.5005803600412674e-08,1.0976115254479692e-10,-4.42578855058631e-10
2026-fifa-world-cup,5.57398341775257e-10,5.610673388961306e-05,0.0,-2.7171752837682932e-09,-3.608538994217187e-10,-1.5946184820311522e-09,-6.186902000512584e-11,0.0,-1.4433324377054112e-10,-1.59454388586258e-08,2.9599436196096483e-10,-3.47788030595683e-08,-4.323304876429227e-09,-1.7697150725151174e-10,-4.607163056514033e-10,-3.965685487588231e-11,-1.1615186730214286e-09,-8.660290258965071e-09,-4.5413426623152964e-10,-1.1762064821992695e-10,-4.365112160351169e-09,1.25118935984091e-09,-3.0633303790000198e-09,-4.127531513731475e-06,-6.014163173198902e-11,1.3053875958126503e-09,-3.879681448175668e-10,-5.65275837685139e-11,-7.33625840733621e-11,6.852240541762084e-10,5.022668316217542e-10,-5.023694143650274e-10,2.4725962389804942e-09,-4.262195649804862e-10,1.3270409103478953e-09,2.3734747552350434e-10,-5.197677611762949e-10,-4.946826535628826e-08,-1.2064430330154912e-10,4.864618891711067e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.472062771726443e-09,-2.7171752837682932e-09,0.0,7.490410853184435e-05,-1.600387772865972e-09,1.4066290746287587e-06,-2.7438922869915794e-10,0.0,-6.401182276777536e-10,-7.071805354804509e-08,1.3127355932101008e-09,-1.542440618229216e-07,-1.9173865860109138e-08,-7.848689921457383e-10,5.182951243335695e-07,-1.758782314820058e-10,-5.151337661136041e-09,-3.8408404792431846e-08,-2.014086388095127e-09,-5.216478124509001e-10,-1.9359281248751622e-08,-6.157035683696471e-07,-1.3585876418841256e-08,-8.831534004042223e-09,-2.6672825821844716e-10,5.789396624332589e-09,-1.7206395059676023e-09,-2.506999481999579e-10,-3.253632085589104e-10,3.0389700644347388e-09,2.2275544128294104e-09,-2.2280093675030068e-09,1.0965969314561557e-08,-1.8902846316587415e-09,1.3785640337574301e-07,1.0526365333923184e-09,-4.858056042586606e-07,-2.1939185678181683e-07,-5.350577288457488e-10,-4.6706011050820496e-08
acquisitions,3.2830178315022995e-10,-3.608538994217187e-10,0.0,-1.600387772865972e-09,3.2823420223469724e-05,-9.392135782603574e-10,-3.644020454878295e-11,0.0,-8.501076832559524e-11,-9.391696418987977e-09,1.7433757790648542e-10,-2.0484350606288276e-08,1.108514762113658e-06,-1.0423436354766458e-10,-2.7135707686178393e-10,-2.3357472016181645e-11,-6.841223285679372e-10,-5.100820224117944e-09,-2.674803246070059e-10,-6.927732942818584e-11,-6.175607794118722e-06,7.369374235778086e-10,-1.8042694971087817e-09,-1.1728700398063883e-09,-3.5422790954668384e-11,7.688596167017772e-10,-2.285091723513877e-10,-3.329415457045101e-11,-4.320979336086293e-11,1.4481845280107317e-07,2.9582990131165437e-10,-2.9589032147262114e-10,1.4563332780691981e-09,-2.510388580471353e-10,7.816131920898067e-10,1.3979517626908173e-10,-3.0613776545283006e-10,-2.9136289989838894e-08,-7.105823059083775e-11,2.865209558049324e-10
airdrops,1.4507702201197376e-09,-1.5946184820311522e-09,0.0,1.4066290746287587e-06,-9.392135782603574e-10,7.388441623877526e-05,-1.61029778964836e-10,0.0,-3.75663786814798e-10,-4.1502039222361765e-08,7.704002209419066e-10,-9.05206348650706e-08,-1.1252494844614795e-08,-4.6061312581684493e-10,-1.1991307581467265e-09,-1.0321699898550913e-10,1.330833848866735e-07,-1.4289747516400492e-06,-1.346813990637186e-08,-3.061374979429698e-10,-1.1361308879303209e-08,3.2565368910263128e-09,-7.97309241015522e-09,-5.182929283826535e-09,-1.137669556555323e-07,3.397601513644819e-09,-1.009785262481738e-09,-9.644465376481266e-08,-1.9094468761011145e-10,1.7834689797289915e-09,1.3072765153014903e-09,-1.3075435128467495e-09,6.435557340318254e-09,-1.1093442620168863e-09,3.453959743550069e-09,-2.623052754441352e-07,-1.3528271126377439e-09,-1.287536772917486e-07,-3.140073253528741e-10,1.2661401535299556e-09
anthropic,5.628790383584921e-11,-6.186902000512584e-11,0.0,-2.7438922869915794e-10,-3.644020454878295e-11,-1.61029778964836e-10,1.0347990653554417e-07,0.0,-1.4575242042876383e-11,-1.6102224600027622e-09,2.989047676200337e-11,-3.5120770469252493e-09,-4.3658143718637535e-10,-1.787116041668423e-11,-4.652463626913833e-11,-4.004678640730486e-12,-1.1729394666361162e-10,-8.74544376530853e-10,-4.5859960445507626e-11,-1.1877716957370616e-11,-4.408032731708538e-10,1.2634918529334624e-10,-3.093451000256531e-10,-2.010905800726726e-10,-6.073298267591031e-12,1.3182230005851191e-10,-3.9178289546596944e-11,-5.708339908406177e-12,-7.408393186672592e-12,6.91961614823634e-11,5.072054399771267e-11,-5.073090313794358e-11,2.496908384789138e-10,-4.304104280284146e-11,1.3400892243417844e-10,2.39681227529315e-11,-5.2487844985123455e-11,-1.3144645587353787e-08,-1.2183055516370452e-11,6.681521807801523e-10
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,1.3131314743627943e-10,-1.4433324377054112e-10,0.0,-6.401182276777536e-10,-8.501076832559524e-11,-3.75663786814798e-10,-1.4575242042876383e-11,0.0,1.0549062577170009e-06,-3.756462132826733e-09,-5.925713641448389e-09,-8.193268173840778e-09,-1.01849382766833e-09,-4.1691343303474724e-11,-1.0853657723061265e-10,-9.342450525759943e-12,-2.736331656005423e-10,-2.0402105395481065e-09,-1.0698596566973042e-10,-2.7709335252171966e-11,-1.028342881075899e-09,2.947579864630433e-10,-7.216662188526898e-10,-4.691209867423283e-10,-1.4168300051870269e-11,3.075261280550439e-10,-9.139840287065484e-11,-1.331689455330921e-11,-1.728292156028077e-11,-5.184689885097452e-10,1.1832514302616208e-10,-1.183493096981496e-10,5.824997495427823e-10,-1.0040975794485096e-10,3.126272642998877e-10,5.5914848881295916e-11,-1.2244805113447764e-10,-1.1653844540439783e-08,-2.842165467577013e-11,1.1460177935121477e-10
basketball,-1.536838732660579e-07,-1.59454388586258e-08,0.0,-7.071805354804509e-08,-9.391696418987977e-09,-4.1502039222361765e-08,-1.6102224600027622e-09,0.0,-3.756462132826733e-09,0.002799197706804606,7.703641816602118e-09,-9.051640031455009e-07,3.2983828033435747e-07,4.255383871610633e-06,-1.1990746628731351e-08,-1.0321217049974397e-09,-3.023004817042021e-08,-2.2539542219954827e-07,-1.1819440412701657e-08,-3.061231768469798e-09,-2.0147002869635643e-06,3.256384550402347e-08,-7.972719429313435e-08,-5.1826868266680544e-08,-1.5652649126832374e-09,3.3974425740254283e-08,-1.0097380247805222e-08,-1.4712045703355486e-09,-1.909357552276818e-09,-1.7227499846578142e-07,1.3072153609750572e-08,-1.3074823460302568e-08,6.435256285285545e-08,-1.1092923669508527e-08,3.453798167495541e-08,6.177279612336652e-09,-1.352763827456906e-08,-1.2874765420152013e-06,-3.139926361067784e-09,1.2660809235603773e-08
