category,baseline_exposure,constrained_exposure,delta_exposure
2026-nfl-draft,0.025,0.03889325261116028,0.013893252611160277
awards,0.025,0.03889325261116028,0.013893252611160277
bundesliga,0.025,0.03348374366760254,0.008483743667602538
base,0.025,0.032606083899736404,0.007606083899736403
fifa-world-cup,0.025,0.031151365488767624,0.0061513654887676225
abraham-accords,0.025,0.030975813046097755,0.005975813046097754
colombia-election,0.025,0.03077157773077488,0.005771577730774878
delaware-midterm,0.025,0.03070235624909401,0.005702356249094008
extended,0.025,0.029812302440404892,0.004812302440404891
connecticut-primary,0.025,0.02971506677567959,0.004715066775679587
democratic-primary,0.025,0.028796205297112465,0.0037962052971124635
anthropic,0.025,0.027925018221139908,0.0029250182211399064
acquisitions,0.025,0.026560772210359573,0.001560772210359572
airdrops,0.025,0.026517415419220924,0.001517415419220923
crypto-prices,0.025,0.026344234123826027,0.0013442341238260255
comex-gold-futures,0.025,0.026141023263335228,0.0011410232633352266
california-midterm,0.025,0.02598343789577484,0.00098343789577484
2026-fifa-world-cup,0.025,0.025977158918976784,0.0009771589189767824
elon-musk,0.025,0.025036349892616272,3.6349892616270585e-05
big-tech,0.025,0.024986792355775833,-1.3207644224168258e-05
champions-league,0.025,0.024928679689764977,-7.132031023502489e-05
commodities,0.025,0.024566778913140297,-0.00043322108685970445
bernie-sanders,0.025,0.02314073219895363,-0.0018592678010463728
bitcoin,0.025,0.02295764721930027,-0.0020423527806997313
brazil,0.025,0.022865314036607742,-0.002134685963392259
foreign-policy,0.025,0.022618349641561508,-0.002381650358438493
colorado-midterm,0.025,0.02144133672118187,-0.003558663278818132
best-of-2025,0.025,0.021350886672735214,-0.003649113327264787
congress,0.025,0.02124772034585476,-0.003752279654145242
climate-science,0.025,0.021169152110815048,-0.003830847889184953
fdv,0.025,0.020996877923607826,-0.004003122076392175
economic-policy,0.025,0.02047388069331646,-0.004526119306683542
business,0.025,0.020117441192269325,-0.004882558807730676
2025-predictions,0.025,0.019904764369130135,-0.005095235630869867
epstein,0.025,0.019790221005678177,-0.0052097789943218245
celebrities,0.025,0.018049363046884537,-0.006950636953115465
basketball,0.025,0.01763686165213585,-0.007363138347864152
felix,0.025,0.016963308677077293,-0.008036691322922708
comex-silver-futures,0.025,0.01602535881102085,-0.00897464118897915
claude-5,0.025,0.012482305988669395,-0.012517694011330606
