category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
2025-predictions,2.7366564687782484e-05,5.562618486931335e-10,0.0,2.4670224226115925e-09,3.2763240063249355e-10,-5.382908762977446e-11,5.617313705503313e-11,0.0,1.3104540985533304e-10,-6.953273108663954e-10,-2.6874406383956275e-10,3.157694223560198e-08,1.0488024675834905e-06,1.6067887823100217e-10,4.1830111708087354e-10,3.600590317949021e-11,-1.4064771463933505e-09,2.5783317862933136e-09,4.123250437181096e-10,0.0,3.1858172781971616e-06,6.799162912786296e-09,3.6852347475918154e-09,1.8079972467112502e-09,4.265114208620374e-07,-1.1852089514824656e-09,3.5225041175722735e-10,5.5722147481182576e-09,6.660856256528247e-11,-5.609547434190917e-08,-4.5602635323054396e-10,4.5611949184008744e-10,-6.241162672043044e-10,3.8698026956305136e-10,2.297239410129456e-09,-2.1549641922793245e-10,4.71916084704784e-10,4.491404016910863e-08,1.6128791926967493e-10,-1.755355995497014e-10
2026-fifa-world-cup,5.562618486931335e-10,5.60495039804006e-05,0.0,-2.7116351687706815e-09,-3.60118145599738e-10,5.916640472412369e-11,-6.174287375035753e-11,0.0,-1.4403895919741733e-10,7.642711199827809e-10,2.953908518327445e-10,-3.470789170925148e-08,-4.314489984608502e-09,-1.7661067572647187e-10,-4.5977693993225355e-10,-3.9575997546667934e-11,1.5459336158749477e-09,-2.8339811930329685e-09,-4.5320832079315184e-10,0.0,-4.356212026638757e-09,-7.473320511207458e-09,-4.050636935908612e-09,-4.1233192801574825e-06,-6.001900749134192e-11,1.302726009186164e-09,-3.8717710709890213e-10,-6.124716719414449e-09,-7.321300331031256e-11,6.838269341295162e-10,5.012427475211901e-10,-5.013451211059669e-10,6.859992856333391e-10,-4.2535053550777825e-10,-2.5250176563042587e-09,2.368635419633098e-10,-5.187079940033023e-10,-4.9367403302801633e-08,-1.7728010502894355e-10,1.9294048596701896e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.4670224226115925e-09,-2.7116351687706815e-09,0.0,7.482771639683982e-05,-1.5971247031790282e-09,2.6240312446853667e-10,-2.738297698044008e-10,0.0,-6.388130750015232e-10,3.3895439609631907e-09,1.3100590245723239e-09,-1.539295698410108e-07,-1.9134771797077047e-08,-7.832687036032786e-10,5.177685298120035e-07,-1.7551962906361173e-10,6.856218709215521e-09,-1.25687123157882e-08,-2.00997981820556e-09,0.0,-1.9319809137759353e-08,-3.314419156342968e-08,-1.7964582993105167e-08,-8.813527173831389e-09,-2.661844194634556e-10,5.777592482267701e-09,-1.7171312520873051e-09,-2.716313102262722e-08,-3.246998175726675e-10,3.0327738342056372e-09,2.2230125977746147e-09,-2.2234666248299756e-09,3.0424082175130604e-09,-1.886430484191667e-09,5.790957734272737e-07,1.0504902870752763e-09,-4.85307719400071e-07,-2.1894453337086287e-07,-7.862376239121353e-10,5.723034996968682e-08
acquisitions,3.2763240063249355e-10,-3.60118145599738e-10,0.0,-1.5971247031790282e-09,3.2789939577408024e-05,3.4848392464969684e-11,-3.636590572641813e-11,0.0,-8.48374377954078e-11,4.5014768199965267e-10,1.7398211676428943e-10,-2.044258456392575e-08,1.1073866386571627e-06,-1.0402183756001403e-10,-2.708038002954605e-10,-2.330984789646071e-11,9.105387021913204e-10,-1.6691852295859491e-09,-2.6693495244541183e-10,0.0,-6.169305871332473e-06,-4.401707479193934e-09,-2.3857827145978796e-09,-1.1704786464587853e-09,-3.535056656171845e-11,7.672919700655869e-10,-2.2804325942320747e-10,-3.6073939758589922e-09,-4.3121691858657196e-11,1.446703224664209e-07,2.9522672650628e-10,-2.9528702347507564e-10,4.0404639166299964e-10,-2.5052700879295316e-10,-1.4872089436261016e-09,1.3951014447255773e-10,-3.0551357369168106e-10,-2.9076883297118973e-08,-1.044161244052364e-10,1.1363992469569593e-10
airdrops,-5.382908762977446e-11,5.916640472412369e-11,0.0,2.6240312446853667e-10,3.4848392464969684e-11,3.812893468637304e-05,5.974816661306677e-12,0.0,1.393855389320007e-11,-7.395800590511283e-11,-2.8584775471643128e-11,-1.0742048972767271e-05,4.1751031462047345e-10,1.709049715052053e-11,4.4492307440996545e-11,3.829742853979696e-12,-1.4959896364318277e-10,2.7424246753452203e-10,4.3856666553391086e-11,0.0,4.2154772876598216e-10,-2.8004252141573877e-06,3.9197743129733534e-10,1.9230636990527142e-10,5.807999274608045e-12,-1.260639259564638e-10,3.7466870099448594e-11,5.926847468891679e-10,7.084773439141474e-12,-6.617347576024571e-11,-4.8504925950775684e-11,4.851483257421539e-11,6.739529264067067e-07,4.324728008971994e-08,2.4434427240922123e-10,-2.2921126779761606e-11,5.01950261896625e-11,-9.768351512419855e-08,1.7155277377082305e-11,-5.030551611536564e-07
anthropic,5.617313705503313e-11,-6.174287375035753e-11,0.0,-2.738297698044008e-10,-3.636590572641813e-11,5.974816661306677e-12,1.0337436032604264e-07,0.0,-1.4545524226173317e-11,7.71785921879478e-11,2.9829532339469246e-11,-3.504916187323596e-09,-4.3569128063951105e-10,-1.7834722471573218e-11,-4.6429776052834056e-11,-3.996513403717531e-12,1.5611342227864925e-10,-3.292784389919608e-08,-4.57664554529653e-11,0.0,-4.3990450861959456e-10,-7.546802972710349e-10,-4.0904653859609846e-10,-2.0068057158143223e-10,-6.0609152715365185e-12,1.315535243538666e-10,-3.9098407975908686e-11,-1.8114248135753675e-09,-7.393288033006642e-12,6.90550757400122e-11,5.0617128642741255e-11,-5.062746666147046e-11,6.927444688517594e-11,-4.295328537027073e-11,-2.549845242976896e-10,2.3919253562516674e-11,-5.23808262370417e-11,-1.3126147803908644e-08,-1.7902323627477087e-11,1.9483760008266102e-11
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,1.3104540985533304e-10,-1.4403895919741733e-10,0.0,-6.388130750015232e-10,-8.48374377954078e-11,1.393855389320007e-11,-1.4545524226173317e-11,0.0,1.053830256676085e-06,1.8004869899678526e-10,-5.919740286259119e-09,-8.176562719407641e-09,-1.0164171957471026e-09,-4.160633780615706e-11,-1.0831527935451273e-10,-9.323401975384414e-12,3.6419449720921447e-10,-6.676356249055255e-10,-1.0676782937337774e-10,0.0,-1.026246167679403e-09,-1.760581552864602e-09,-9.542581046828917e-10,-4.681644845137411e-10,-1.413941195912218e-11,3.068991055275193e-10,-9.121204843651253e-11,-1.4428744567493219e-09,-1.7247682989727097e-11,-5.181046114835242e-10,1.18083887004377e-10,-1.1810800440234427e-10,1.6160924528168953e-10,-1.0020503003892007e-10,-5.94849304225621e-10,5.5800842731334043e-11,-1.2219838881472896e-10,-1.1630083232399992e-08,-4.176404345776624e-11,4.5453351008408315e-11
basketball,-6.953273108663954e-10,7.642711199827809e-10,0.0,3.3895439609631907e-09,4.5014768199965267e-10,-7.395800590511283e-11,7.71785921879478e-11,0.0,1.8004869899678526e-10,0.00013394233513258101,-3.6923856479092915e-10,4.338486463656213e-08,5.393112480760543e-09,2.2076334465809752e-10,9.278744244389993e-07,2.3501614647610316e-08,-1.93241701984351e-09,3.5424764912911547e-09,5.665104009914212e-10,0.0,5.44526503329861e-09,-3.005231560521657e-06,5.0632961698856086e-09,-1.984586710645768e-06,7.502375936412879e-11,-1.6284075114826067e-09,4.839713838736374e-10,-4.822030058601213e-06,9.151625413788042e-11,-8.547836676619091e-10,-6.265534344015011e-10,6.266814013824782e-10,-8.574991070418043e-10,5.316881693846779e-10,3.1562720703805174e-09,-2.960794274541085e-10,6.483849925041803e-10,6.170925412850612e-08,2.2160013128619539e-10,-2.411756074587873e-10
