category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
2025-predictions,2.7896864339329658e-05,5.780281892727382e-10,0.0,2.56355618705062e-09,3.404525471765062e-10,-5.593540187221347e-11,5.837117316957142e-11,0.0,1.3617317302840228e-10,-7.225352365909053e-10,-2.79259929409051e-10,6.565121244273626e-08,1.0692037063698868e-06,1.669661891363862e-10,4.346691002539608e-10,3.741480215992935e-11,-1.4615121279542825e-09,2.679221049002252e-09,4.2845918513399713e-10,1.1097080938074503e-10,3.2476303676006914e-06,7.0652118894752554e-09,3.829436753931763e-09,1.87874357585706e-09,-2.768525289338045e-10,-4.357019888823969e-10,3.6603385286437407e-10,-3.219854960197133e-06,6.921493339894096e-11,-9.746196046746346e-10,-4.738705123096223e-10,4.73967295401879e-10,-6.485377285452093e-10,4.0212267842085084e-10,-1.2520148981606053e-09,-2.2392872222629161e-10,4.90382003675887e-10,4.667151157834543e-08,1.6759906174769196e-10,-4.589591231742525e-10
2026-fifa-world-cup,5.780281892727382e-10,5.713561992318755e-05,0.0,-2.8177405483681348e-09,-3.7420944850758634e-10,6.148156640400245e-11,-6.415885180380918e-11,0.0,-1.4967515562180621e-10,7.941767939594846e-10,3.069493973274634e-10,-7.216072902316886e-08,-4.4833145384639494e-09,-1.835213925532525e-10,-4.777678582177882e-10,-4.1124593128771165e-11,1.6064254825662587e-09,-2.944873931747171e-09,-4.709422112030184e-10,-1.2197390127698566e-10,-4.526669150080878e-09,-7.765749049835163e-09,-4.20913700798554e-09,-4.2032602667382304e-06,3.0430329580273703e-10,4.789031608825774e-10,-4.023272181437852e-10,3.975445999935962e-10,-7.607780370719876e-11,1.071256090737635e-09,5.208562090253698e-10,-5.209625884543946e-10,7.128422088422211e-10,-4.419943600722964e-10,1.3761559678420013e-09,2.461319333465219e-10,-5.390048647762509e-10,-5.129913332589171e-08,-1.8421701640108243e-10,5.044663104885255e-10
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.56355618705062e-09,-2.8177405483681348e-09,0.0,7.627749132577782e-05,-1.6596196600400505e-09,2.7267087119569154e-10,-2.845446373517687e-10,0.0,-6.638096175288858e-10,3.5221756854600254e-09,1.361321197189861e-09,-1.4465840959388458e-07,-1.988350903445397e-08,-8.139177466897896e-10,5.277615793102041e-07,-1.823876535984235e-10,7.1245002601858496e-09,-1.3060521835990533e-08,-2.0886296579959777e-09,-5.409544985525879e-10,-2.00757868245518e-08,-3.444111272295319e-08,-1.866753113293781e-08,-9.158397552096827e-09,1.349585731582474e-09,2.1239364859059646e-09,-1.784322025174985e-09,1.7631111040177458e-09,-3.374052131197936e-10,4.751022926375565e-09,2.3099983391653236e-09,-2.3104701321479314e-09,3.1614566361676216e-09,-1.9602458797561095e-09,1.404943411479855e-07,1.0915956215822792e-09,-4.947574568231182e-07,-2.275117599253943e-07,-8.170028398598341e-10,-4.7522230342417656e-08
acquisitions,3.404525471765062e-10,-3.7420944850758634e-10,0.0,-1.6596196600400505e-09,3.342533926483335e-05,3.621199843728121e-11,-3.7788891486429575e-11,0.0,-8.81570984359685e-11,4.677618106344655e-10,1.8078997895570492e-10,-4.250191332876089e-08,1.128795398694508e-06,-1.0809217736378251e-10,-2.8140026266535657e-10,-2.422195446886885e-11,9.461677778674447e-10,-1.7344998908072405e-09,-2.773800280894946e-10,-7.184134986746925e-11,-6.288905439050142e-06,-4.573944824518596e-09,-2.479137596362837e-09,-1.2162790854425863e-09,1.7923145288221076e-10,2.820689440397108e-10,-2.3696651609296646e-10,-7.324630635931101e-08,-4.480902927640788e-11,6.309586133313537e-10,3.067788498316897e-10,-3.068415062008104e-10,4.1985659218556203e-10,-2.6033004707539446e-10,8.105414463496404e-10,1.449691298874923e-10,-3.174682179159741e-10,-3.021465204096675e-08,-1.0850189252171364e-10,2.971253713190908e-10
airdrops,-5.593540187221347e-11,6.148156640400245e-11,0.0,2.7267087119569154e-10,3.621199843728121e-11,3.886779756701851e-05,6.208609244164824e-12,0.0,1.4483964857360613e-11,-7.685195800504672e-11,-2.970328820045174e-11,6.982945559078638e-09,4.3384735395702095e-10,1.775924260290832e-11,4.6233276589258436e-11,3.979599414317197e-12,-1.5545272118685886e-10,2.8497348380648463e-10,4.557276328577498e-11,1.1803332973145768e-11,4.380427507713177e-10,-2.8546776063247425e-06,4.073153774267561e-10,1.9983125400958812e-10,-2.944722672295768e-11,-4.634313906998985e-11,3.893293622811671e-11,-3.8470125463521033e-11,7.361998260452328e-12,-1.0366473652234767e-10,-5.0402907522776047e-11,5.041320178908044e-11,6.870114838185616e-07,4.408613944302585e-08,-1.3316969401948748e-10,-2.3818022824535974e-11,5.2159140820224895e-11,-9.948206895561159e-08,1.782655765812159e-11,-4.8816867986436836e-11
anthropic,5.837117316957142e-11,-6.415885180380918e-11,0.0,-2.845446373517687e-10,-3.7788891486429575e-11,6.208609244164824e-12,1.0537742687743161e-07,0.0,-1.5114685736996687e-11,8.019856475475656e-11,3.0996751989274494e-11,-7.2870259409898535e-09,-4.527397351115397e-10,-1.8532589212515716e-11,-4.824655770158242e-11,-4.152895640034245e-12,1.6222208841555553e-10,-3.3571572708223855e-08,-4.755728158790587e-11,-1.2317322659583088e-11,-4.571178252970117e-10,-7.842106855543855e-10,-4.2505239320023145e-10,-2.0853313540370202e-10,1.5216985531932097e-08,4.836120427016784e-11,-4.062831563742575e-11,4.014535124671075e-11,-7.682584927459424e-12,1.0817893649802694e-10,5.259776000149923e-11,-5.260850254345001e-11,7.198513288297242e-11,-4.4634033098304994e-11,1.3896872124578123e-10,2.4855205975348147e-11,-5.44304704943268e-11,-1.347897401972439e-08,-1.860283557910404e-11,6.813221899149064e-10
awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,1.3617317302840228e-10,-1.4967515562180621e-10,0.0,-6.638096175288858e-10,-8.81570984359685e-11,1.4483964857360613e-11,-1.5114685736996687e-11,0.0,1.074250722903617e-06,1.870939445272517e-10,-6.0330785961558795e-09,-1.6999785860772028e-08,-1.0561892615567848e-09,-4.323437992533063e-11,-1.1255362010346533e-10,-9.688223584549337e-12,3.7844530639576574e-10,-6.937599841958948e-10,-1.1094561892077324e-10,-2.8734884339182517e-11,-1.0664028378820229e-09,-1.8294725217273526e-09,-9.915979059944645e-10,-4.864836046208489e-10,7.168845070442909e-11,1.1282107724323457e-10,-9.478114546499648e-11,9.365444558946826e-11,-1.7922579071575984e-11,3.231712226324034e-08,1.2270447011203304e-10,-1.227295312157319e-10,1.6793296113938749e-10,-1.0412601943760874e-10,3.241978993425502e-10,5.798431109317132e-11,-1.269799710056983e-10,-1.208516450967989e-08,-4.339825654647317e-11,1.1884330117460954e-10
basketball,-7.225352365909053e-10,7.941767939594846e-10,0.0,3.5221756854600254e-09,4.677618106344655e-10,-7.685195800504672e-11,8.019856475475656e-11,0.0,1.870939445272517e-10,0.00013653785258049638,-3.8368674665933715e-10,9.020091127895888e-08,5.604143173080457e-09,2.2940174069159723e-10,9.458661388330814e-07,2.395800635705342e-08,-2.008031853207834e-09,3.681092414683919e-09,5.886777640037257e-10,1.5246737659621785e-10,5.658336437601147e-09,-3.0632824638585636e-06,5.261421259981746e-09,-2.02299499308518e-06,-3.8037911975337775e-10,-5.986289511032841e-10,5.029090226797542e-10,-4.969307499918932e-10,9.509725463401058e-11,-1.3390701134219913e-09,-6.51070261281759e-10,6.512032355680323e-10,-8.910527610527497e-10,5.52492950090381e-10,5.984505536181694e-07,-3.076649166832505e-10,6.73756080970355e-10,6.412391665737048e-08,2.3027127050131797e-10,-6.305828881106694e-10
