category_a,category_b,correlation,abs_correlation
colorado-midterm,felix,0.26535586431553754,0.26535586431553754
colorado-midterm,fdv,0.20757815929108056,0.20757815929108056
brazil,colorado-midterm,-0.12768010916293965,0.12768010916293965
claude-5,congress,0.1111006507147546,0.1111006507147546
best-of-2025,climate-science,0.09328806725723875,0.09328806725723875
fdv,felix,0.09139295401286018,0.09139295401286018
business,commodities,-0.0709501427429818,0.0709501427429818
2025-predictions,congress,-0.06797340137138272,0.06797340137138272
delaware-midterm,economic-policy,0.05954447413380926,0.05954447413380926
bundesliga,democratic-primary,0.05457437586347407,0.05457437586347407
2026-fifa-world-cup,colorado-midterm,-0.049166340802125036,0.049166340802125036
brazil,fdv,-0.047788466235219734,0.047788466235219734
brazil,felix,-0.04433933074036678,0.04433933074036678
brazil,climate-science,0.03594245466439441,0.03594245466439441
comex-silver-futures,connecticut-primary,0.03453389383863288,0.03453389383863288
climate-science,colorado-midterm,0.03439181532900561,0.03439181532900561
acquisitions,claude-5,-0.030269341687798202,0.030269341687798202
bernie-sanders,commodities,-0.030132129302767256,0.030132129302767256
bundesliga,climate-science,0.028964478162004793,0.028964478162004793
bundesliga,felix,-0.027648063450271886,0.027648063450271886
comex-gold-futures,epstein,0.0247019873403663,0.0247019873403663
climate-science,democratic-primary,-0.024034253955653805,0.024034253955653805
brazil,democratic-primary,-0.023165571373838352,0.023165571373838352
bundesliga,fdv,-0.022517056902241386,0.022517056902241386
colorado-midterm,democratic-primary,0.021668355767973345,0.021668355767973345
democratic-primary,felix,-0.017513670707975364,0.017513670707975364
claude-5,democratic-primary,0.01730923128583954,0.01730923128583954
2025-predictions,claude-5,0.017110185644058994,0.017110185644058994
basketball,colorado-midterm,-0.015307467657128851,0.015307467657128851
basketball,bundesliga,0.014478287603432404,0.014478287603432404
bundesliga,colorado-midterm,-0.012814860165531421,0.012814860165531421
brazil,claude-5,0.01260238342085533,0.01260238342085533
airdrops,climate-science,-0.012054528279201124,0.012054528279201124
celebrities,elon-musk,0.011586139452099527,0.011586139452099527
basketball,epstein,0.011407839494709505,0.011407839494709505
business,comex-silver-futures,0.01122541987518609,0.01122541987518609
basketball,brazil,0.010596672099567616,0.010596672099567616
brazil,congress,0.010377221660779914,0.010377221660779914
congress,democratic-primary,0.010182383958830235,0.010182383958830235
base,crypto-prices,0.009442014182120451,0.009442014182120451
climate-science,fdv,0.008887049915338672,0.008887049915338672
abraham-accords,brazil,0.007910536188051643,0.007910536188051643
comex-gold-futures,foreign-policy,-0.007803024242219407,0.007803024242219407
abraham-accords,fdv,-0.007556687883099267,0.007556687883099267
2025-predictions,big-tech,0.007140514646874666,0.007140514646874666
basketball,climate-science,-0.006901581623803106,0.006901581623803106
acquisitions,big-tech,0.006886904686116314,0.006886904686116314
champions-league,democratic-primary,0.006738751566869473,0.006738751566869473
climate-science,extended,0.006670161427890521,0.006670161427890521
commodities,crypto-prices,0.0066558286031346975,0.0066558286031346975
bernie-sanders,business,-0.006546917857931214,0.006546917857931214
champions-league,colorado-midterm,0.006385427871982164,0.006385427871982164
brazil,champions-league,0.006327062881437906,0.006327062881437906
airdrops,economic-policy,0.005853504276410902,0.005853504276410902
anthropic,comex-gold-futures,0.005779918152938288,0.005779918152938288
anthropic,california-midterm,-0.005614235360555718,0.005614235360555718
congress,fdv,-0.0053749343894893865,0.0053749343894893865
brazil,bundesliga,-0.005310586804443339,0.005310586804443339
claude-5,fdv,-0.004713539947840078,0.004713539947840078
brazil,extended,0.004391768221683457,0.004391768221683457
economic-policy,elon-musk,-0.003742985438412712,0.003742985438412712
climate-science,economic-policy,0.003584819722773924,0.003584819722773924
abraham-accords,epstein,0.003583127767513655,0.003583127767513655
climate-science,comex-gold-futures,0.0032508672348398365,0.0032508672348398365
bernie-sanders,crypto-prices,0.0031632147078914027,0.0031632147078914027
epstein,fdv,0.0029512300959789227,0.0029512300959789227
airdrops,elon-musk,0.002756205117907182,0.002756205117907182
democratic-primary,foreign-policy,0.0026607783342013536,0.0026607783342013536
brazil,comex-gold-futures,-0.0026044573578060627,0.0026044573578060627
california-midterm,comex-gold-futures,-0.0023819037194619686,0.0023819037194619686
democratic-primary,fdv,-0.002112320947501614,0.002112320947501614
base,bernie-sanders,-0.0018171552220290037,0.0018171552220290037
big-tech,comex-silver-futures,-0.00178813500309453,0.00178813500309453
abraham-accords,foreign-policy,-0.001581122720383198,0.001581122720383198
bitcoin,foreign-policy,0.0015681519527078675,0.0015681519527078675
elon-musk,foreign-policy,-0.0014561155568437554,0.0014561155568437554
acquisitions,congress,-0.0014126292861630658,0.0014126292861630658
bundesliga,comex-gold-futures,-0.0010958038753035827,0.0010958038753035827
colorado-midterm,comex-gold-futures,-0.0009052369669322775,0.0009052369669322775
climate-science,felix,0.0007473845787325882,0.0007473845787325882
big-tech,congress,-0.0006917587815891752,0.0006917587815891752
comex-gold-futures,democratic-primary,0.0006844125449837166,0.0006844125449837166
anthropic,foreign-policy,0.0006098818427109096,0.0006098818427109096
congress,felix,0.0005074475640727265,0.0005074475640727265
claude-5,felix,-0.0004552113334590196,0.0004552113334590196
anthropic,felix,-0.00042979830861230147,0.00042979830861230147
crypto-prices,economic-policy,0.00032497204672587423,0.00032497204672587423
best-of-2025,champions-league,0.0003187854066592319,0.0003187854066592319
best-of-2025,extended,0.000273627697838752,0.000273627697838752
crypto-prices,felix,0.00027112065657457283,0.00027112065657457283
abraham-accords,felix,-0.0002696418573935696,0.0002696418573935696
epstein,felix,0.00025618507806999657,0.00025618507806999657
best-of-2025,colorado-midterm,-0.00025603377363158714,0.00025603377363158714
felix,foreign-policy,0.0002463174492440785,0.0002463174492440785
crypto-prices,democratic-primary,0.00024137455315987601,0.00024137455315987601
abraham-accords,democratic-primary,-0.00024005800097961892,0.00024005800097961892
democratic-primary,epstein,0.00022807763719164266,0.00022807763719164266
best-of-2025,fdv,-0.00022262865813786018,0.00022262865813786018
delaware-midterm,felix,0.0002129983537706795,0.0002129983537706795
best-of-2025,felix,-0.00020585970364070223,0.00020585970364070223
business,felix,0.0002057900998016921,0.0002057900998016921
delaware-midterm,democratic-primary,0.0001896291603699579,0.0001896291603699579
best-of-2025,democratic-primary,-0.000183273729887242,0.000183273729887242
