domain,total_contribution,contribution_share_of_total_return
felix,0.07814142128212374,0.5490093508864472
colombia-election,0.04976565295489187,0.3496456600982729
economic-policy,-0.017799238663605478,-0.1250546548123064
best-of-2025,0.014323746428186188,0.10063639232269209
comex-silver-futures,0.012097980142340661,0.08499850803843813
congress,-0.011834239482987336,-0.08314550759618666
epstein,-0.010236172669541195,-0.07191774120125997
2026-fifa-world-cup,-0.009525973709067333,-0.06692799486836107
california-midterm,-0.009509972951898819,-0.06681557606201428
colorado-midterm,0.008468333174432284,0.05949717861413947
airdrops,0.008259564797356999,0.05803040479171426
fifa-world-cup,0.007839283057190675,0.05507757130632018
claude-5,0.0074460442988220805,0.05231473756292213
fdv,0.004605234774756942,0.0323556561025516
acquisitions,-0.004206035576247936,-0.02955094524303775
abraham-accords,0.0036938663843931853,0.025952524956452314
comex-gold-futures,0.0036598522196881166,0.02571354677843514
bernie-sanders,-0.0036401919803792666,-0.025575417025429314
foreign-policy,-0.00329168475542764,-0.02312686000905341
extended,0.0027926449958648953,0.019620685051281703
business,-0.0027311620580606688,-0.019188715588471177
brazil,0.0027199873516535206,0.01911020385666142
celebrities,0.002421431508627683,0.01701259740295761
base,0.0023905956937428758,0.016795949811498515
elon-musk,0.002347808230831496,0.01649533181845942
2025-predictions,0.002335148651924054,0.016406387605717533
democratic-primary,0.0014530965124786906,0.010209227833353846
bitcoin,0.0014223288995432906,0.00999305941807761
commodities,-0.0012974433187703017,-0.009115632945532238
champions-league,0.0011260346951808865,0.007911342882347882
connecticut-primary,-0.0004637474079163432,-0.003258216439091936
crypto-prices,-0.0004476935325859229,-0.003145424432883798
anthropic,-0.0003168524572813405,-0.0022261555912932935
big-tech,0.0002399194293874543,0.0016856362225290875
bundesliga,8.21095007157426e-05,0.0005768884536513124
basketball,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
climate-science,0.0,0.0
