category,baseline_exposure,constrained_exposure,delta_exposure
nba-champion,0.05555555555555555,0.10000491887331009,0.04444936331775454
grooming-gangs,0.05555555555555555,0.09889362752437592,0.04333807196882036
airdrops,0.05555555555555555,0.0502045638859272,-0.005350991669628352
republican-primary,0.05555555555555555,0.05019905045628548,-0.005356505099270076
west-virginia-primary,0.05555555555555555,0.05019707605242729,-0.005358479503128261
uefa-europa-league,0.05555555555555555,0.05018065497279167,-0.005374900582763881
colombia-election,0.05555555555555555,0.05017963796854019,-0.005375917587015361
serie-a,0.05555555555555555,0.05016754940152168,-0.00538800615403387
hockey,0.05555555555555555,0.05016374588012695,-0.005391809675428599
basketball,0.05555555555555555,0.050155628472566605,-0.005399927082988948
primaries,0.05555555555555555,0.050150204449892044,-0.005405351105663508
economic-policy,0.05555555555555555,0.05014921352267265,-0.005406342032882899
ligue-1,0.05555555555555555,0.05014415457844734,-0.0054114009771082106
best-of-2025,0.05555555555555555,0.05014315992593765,-0.0054123956296179
nba,0.05555555555555555,0.05010702461004257,-0.0054485309455129805
south-dakota-midterm,0.05555555555555555,0.05009947344660759,-0.005456082108947963
claude-5,0.05555555555555555,0.050056613981723785,-0.005498941573831767
tennis,0.05555555555555555,0.04880369454622269,-0.006751861009332866
