domain,total_contribution,contribution_share_of_total_return
tennis,0.6488491628100623,0.3872430502022616
grooming-gangs,0.6141952897360545,0.3665610916213439
republican-primary,0.12423467313249907,0.07414514269596562
colombia-election,0.08792050016423067,0.0524722918828387
west-virginia-primary,0.08490111942239377,0.05067027952741372
nba-champion,0.08379514200932775,0.0500102153839452
primaries,0.07043788493906585,0.04203840118321071
airdrops,0.05055822987245533,0.030173920644123362
ligue-1,-0.041636105999350546,-0.0248490613995798
uefa-europa-league,0.04008353715404034,0.023922464696113102
economic-policy,-0.03476388833352498,-0.020747617361272272
basketball,-0.034474761784076685,-0.020575062238571765
south-dakota-midterm,-0.03404943972044152,-0.020321223561294136
nba,-0.026339505419522968,-0.01571981749240672
hockey,0.020192232166346257,0.012051031306912681
claude-5,0.008427514691174854,0.005029668961120698
serie-a,0.008426625902454053,0.0050291385184924944
best-of-2025,0.004802299564642964,0.0028660854293830872
