category,airdrops,colombia-election,comex-gold-futures,epstein,hockey,la-liga,league-of-legends,ligue-1,middle-east,nba,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,stanley-cup,tennis
airdrops,0.0001262476569457721,-3.8679345197127634e-08,7.718970961235344e-09,-8.567206188597757e-06,1.7159985434598552e-05,-6.207283824735332e-08,-1.608913744467703e-06,-5.2910425033806086e-08,-3.6426233842435283e-07,1.0421941494413258e-05,-3.605428704326821e-08,-1.4724731382594457e-08,-2.2564559075861143e-08,1.174519489051643e-08,-2.794835368225252e-08,-3.6737972121005696e-08,-1.7070558919077029e-06
colombia-election,-3.8679345197127634e-08,0.0008451789304244634,1.52804359086292e-08,-6.583599815454034e-08,2.807117519644898e-09,-1.2287907692214405e-07,-1.3965039275069531e-09,-1.0474121002497533e-07,-7.210918844200666e-07,4.329671561139918e-08,-7.137288443793173e-08,-2.9149003836582837e-08,-4.4668687121215574e-08,2.3250728453340785e-08,-5.532641971813295e-08,1.0466101170496305e-05,-5.222895982706336e-07
comex-gold-futures,7.718970961235344e-09,1.52804359086292e-08,0.00011754935678508705,1.3138437462394505e-08,-5.601971416134618e-10,-1.0701935254136428e-05,2.2816518098683647e-06,2.0902483082559325e-08,4.851704602680907e-07,-1.846865408444876e-06,1.4243395786258188e-08,5.817066266680743e-09,-1.779575334130492e-08,-4.639988005076708e-09,1.1041113157859293e-08,1.4513488414734377e-08,1.0422974385578565e-07
epstein,-8.567206188597757e-06,-6.583599815454034e-08,1.3138437462394505e-08,0.0005937534427147905,-4.5855203076155495e-06,-1.0565399293790046e-07,-1.2007432004721945e-09,-9.005867672083201e-08,-6.200098403438e-07,3.7227419020565865e-08,-6.136789449631601e-08,-2.5062921390989984e-08,-3.840706873669336e-08,1.9991461210005148e-08,-4.757080948681432e-08,-2.008390027736167e-06,9.935553940161704e-06
hockey,1.7159985434598552e-05,2.807117519644898e-09,-5.601971416134618e-10,-4.5855203076155495e-06,0.0003187338349095754,4.504878530135321e-09,5.933906064581394e-07,3.8399249089478576e-09,2.643600057670239e-08,1.6347611589398084e-05,2.6166063644983166e-09,1.068633691327662e-09,1.6376018979143735e-09,-1.0858158875788576e-06,2.0283257864595924e-09,-2.811047975838584e-07,3.059138017411462e-06
la-liga,-6.207283824735332e-08,-1.2287907692214405e-07,-1.0701935254136428e-05,-1.0565399293790046e-07,4.504878530135321e-09,0.0018547369203212028,-2.2411176291140894e-09,-1.6808930333689386e-07,4.4864272366653255e-05,1.7403265972635915e-06,-1.1453962026461368e-07,-4.677849097492232e-08,-7.168456901909573e-08,3.7312904317845256e-08,1.6009195608872326e-05,-1.1671159579391703e-07,-8.381733865064552e-07
league-of-legends,-1.608913744467703e-06,-1.3965039275069531e-09,2.2816518098683647e-06,-1.2007432004721945e-09,5.933906064581394e-07,-2.2411176291140894e-09,0.00014939747679383855,6.140897688416765e-06,-1.315156147705628e-08,7.896627731098302e-10,-1.3017271415210231e-09,-5.316311613467809e-10,-1.7302380793869508e-06,4.2405606171296915e-10,-1.0090653160155512e-09,-1.3264113467833671e-09,-9.525726067503832e-09
ligue-1,-5.2910425033806086e-08,-1.0474121002497533e-07,2.0902483082559325e-08,-9.005867672083201e-08,3.8399249089478576e-09,-1.6808930333689386e-07,6.140897688416765e-06,0.0007667479082287646,-7.5131327762753285e-06,5.922663927974391e-08,-9.7632719278303e-08,-3.9873637323627225e-08,-6.11033927601539e-08,3.180524175221089e-08,-7.568236659556027e-08,-9.948409504366894e-08,-7.14452752351341e-07
middle-east,-3.6426233842435283e-07,-7.210918844200666e-07,4.851704602680907e-07,-6.200098403438e-07,2.643600057670239e-08,4.4864272366653255e-05,-1.315156147705628e-08,-7.5131327762753285e-06,0.03916281576667794,4.0774637715102737e-07,-6.721534103783684e-07,-2.7451044597938154e-07,-7.369403343706504e-07,2.1896349778724105e-07,-5.210359927362734e-07,-6.848992249350238e-07,-4.918656958414766e-06
nba,1.0421941494413258e-05,4.329671561139918e-08,-1.846865408444876e-06,3.7227419020565865e-08,1.6347611589398084e-05,1.7403265972635915e-06,7.896627731098302e-10,5.922663927974391e-08,4.0774637715102737e-07,0.0003892380932790783,4.035828954002256e-08,1.6482505168515756e-08,2.525821707231753e-08,8.939817969441397e-06,3.1284705442148353e-08,4.112358994073128e-08,2.953322539329262e-07
