category,baseline_exposure,constrained_exposure,delta_exposure
la-liga,0.058823529411764705,0.09679549932479858,0.03797196991303388
ligue-1,0.058823529411764705,0.0954931303858757,0.036669600974111
nba-champion,0.058823529411764705,0.09400930255651474,0.035185773144750035
airdrops,0.058823529411764705,0.05194932967424393,-0.006874199737520778
new-mexico-primary,0.058823529411764705,0.051854752004146576,-0.006968777407618129
comex-gold-futures,0.058823529411764705,0.05180496722459793,-0.007018562187166774
stanley-cup,0.058823529411764705,0.05170244723558426,-0.007121082176180446
primaries,0.058823529411764705,0.05160655453801155,-0.007216974873753154
league-of-legends,0.058823529411764705,0.05149953439831734,-0.007323995013447368
serie-a,0.058823529411764705,0.05147687345743179,-0.007346655954332912
hockey,0.058823529411764705,0.05142487213015556,-0.007398657281609142
roland-garros,0.058823529411764705,0.05099795386195183,-0.007825575549812877
epstein,0.058823529411764705,0.050850678235292435,-0.00797285117647227
nba,0.058823529411764705,0.05061935633420944,-0.008204173077555263
colombia-election,0.058823529411764705,0.050389666110277176,-0.00843386330148753
middle-east,0.058823529411764705,0.04889484867453575,-0.009928680737228954
tennis,0.058823529411764705,0.04863022640347481,-0.010193303008289897
