category,awards,basketball,best-of-2025,colombia-election,hockey,la-liga,ligue-1,natural-disasters,nba,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,uefa-europa-league,usdptai
awards,1.0,-3.8435452824243916e-05,-0.000136010637191165,-0.00013059597956373398,-0.00011584724895815183,-5.7476778344297234e-05,-0.00014434028061425844,-9.065104877150825e-05,8.335159767020147e-05,-4.259194598123397e-05,-0.007346871787787182,-6.714723294253832e-05,0.002971491130274034,-0.021216210781575078,0.00020154571067576254,-2.8385889735340725e-05
basketball,-3.8435452824243916e-05,1.0,-3.940084783229241e-05,-3.7832278596471914e-05,-3.355972681441404e-05,-3.085492506544614e-05,-4.1813857724667625e-05,-2.6260653227172375e-05,2.4146079190601954e-05,-1.2338437765930882e-05,-0.002793944876183589,-1.9451845548006304e-05,2.023832773502684e-05,-2.5950374622938655e-05,-4.944181129465444e-05,-8.223093025248602e-06
best-of-2025,-0.000136010637191165,-3.940084783229241e-05,1.0,-0.00013387619867078482,-0.00011875701969382932,-0.00010918560106022842,-0.00014796571952876265,-9.292795885134213e-05,8.544516520722794e-05,-4.3661740897437654e-05,8.517986651828862e-05,-6.883379050134792e-05,7.161689660615888e-05,-9.182998321771133e-05,-0.00017495858026758007,-2.9098866797815953e-05
colombia-election,-0.00013059597956373398,-3.7832278596471914e-05,-0.00013387619867078482,1.0,-0.008608740564640695,-0.00010483886274772743,-0.00014207512355486794,-8.92284461397799e-05,8.204354659069022e-05,-4.192354318540984e-05,8.178880958721538e-05,-6.609347976933254e-05,6.876578890260001e-05,-8.817418151480326e-05,-0.00016799338378960908,-2.7940425044211704e-05
hockey,-0.00011584724895815183,-3.355972681441404e-05,-0.00011875701969382932,-0.008608740564640695,1.0,-0.0002971687934324172,-0.00012603000692826404,-7.915151789997909e-05,7.277803803036048e-05,-3.718894839513655e-05,7.255206950392465e-05,-5.862927657441278e-05,6.0999791061068874e-05,-7.821631563046511e-05,-0.00014902121351829248,-2.4785000173100653e-05
la-liga,-5.7476778344297234e-05,-3.085492506544614e-05,-0.00010918560106022842,-0.00010483886274772743,-0.0002971687934324172,1.0,-0.00011587240984628961,-7.277217026007652e-05,0.0020313547003310574,-3.4191643523803546e-05,6.670461533450675e-05,-5.390395295374993e-05,0.00036271590403818475,0.010506153331011178,-0.0001632192157383415,-2.278741204650089e-05
ligue-1,-0.00014434028061425844,-4.1813857724667625e-05,-0.00014796571952876265,-0.00014207512355486794,-0.00012603000692826404,-0.00011587240984628961,1.0,-9.861910755303845e-05,9.067804826035916e-05,-4.6335698908501415e-05,0.004986516592256178,-7.304934997652607e-05,7.600290070199601e-05,-9.745388904999553e-05,-0.00018567349652366487,-3.0880956709659664e-05
natural-disasters,-9.065104877150825e-05,-2.6260653227172375e-05,-9.292795885134213e-05,-8.92284461397799e-05,-7.915151789997909e-05,-7.277217026007652e-05,-9.861910755303845e-05,1.0,5.69491769059451e-05,-2.9100537173275922e-05,5.6772355409577695e-05,-4.587770066171677e-05,4.773264004332241e-05,-6.120465618917115e-05,-0.00011660984111513598,-1.9394385966861496e-05
nba,8.335159767020147e-05,2.4146079190601954e-05,8.544516520722794e-05,8.204354659069022e-05,7.277803803036048e-05,0.0020313547003310574,9.067804826035916e-05,5.69491769059451e-05,1.0,2.675728851816686e-05,-5.220090215190163e-05,4.218351248453818e-05,0.025442278905651452,5.627630289287986e-05,0.0001072201225770022,1.7832701089262493e-05
nba-champion,-4.259194598123397e-05,-1.2338437765930882e-05,-4.3661740897437654e-05,-4.192354318540984e-05,-3.718894839513655e-05,-3.4191643523803546e-05,-4.6335698908501415e-05,-2.9100537173275922e-05,2.675728851816686e-05,1.0,2.667420981446042e-05,-2.1555410277185973e-05,2.2426944352196134e-05,-2.875670436841579e-05,-5.478855590711192e-05,-9.112356124217279e-06
new-mexico-primary,-0.007346871787787182,-0.002793944876183589,8.517986651828862e-05,8.178880958721538e-05,7.255206950392465e-05,6.670461533450675e-05,0.004986516592256178,5.6772355409577695e-05,-5.220090215190163e-05,2.667420981446042e-05,0.9999999999999999,4.2052536898850895e-05,-4.375281624295717e-05,8.311761673760564e-05,0.00010688721482407672,1.777733233659243e-05
primaries,-6.714723294253832e-05,-1.9451845548006304e-05,-6.883379050134792e-05,-6.609347976933254e-05,-5.862927657441278e-05,-5.390395295374993e-05,-7.304934997652607e-05,-4.587770066171677e-05,4.218351248453818e-05,-2.1555410277185973e-05,4.2052536898850895e-05,1.0,3.5356620175791443e-05,-4.533563992912011e-05,-8.637548347053929e-05,-1.4365849815778974e-05
roland-garros,0.002971491130274034,2.023832773502684e-05,7.161689660615888e-05,6.876578890260001e-05,6.0999791061068874e-05,0.00036271590403818475,7.600290070199601e-05,4.773264004332241e-05,0.025442278905651452,2.2426944352196134e-05,-4.375281624295717e-05,3.5356620175791443e-05,0.9999999999999998,0.002544183333573426,0.0004474994554589427,1.4946693672144467e-05
serie-a,-0.021216210781575078,-2.5950374622938655e-05,-9.182998321771133e-05,-8.817418151480326e-05,-7.821631563046511e-05,0.010506153331011178,-9.745388904999553e-05,-6.120465618917115e-05,5.627630289287986e-05,-2.875670436841579e-05,8.311761673760564e-05,-4.533563992912011e-05,0.002544183333573426,1.0,-0.001065666870570502,-0.0007089894901214993
uefa-europa-league,0.00020154571067576254,-4.944181129465444e-05,-0.00017495858026758007,-0.00016799338378960908,-0.00014902121351829248,-0.0001632192157383415,-0.00018567349652366487,-0.00011660984111513598,0.0001072201225770022,-5.478855590711192e-05,0.00010688721482407672,-8.637548347053929e-05,0.0004474994554589427,-0.001065666870570502,1.0,0.005558166204035808
usdptai,-2.8385889735340725e-05,-8.223093025248602e-06,-2.9098866797815953e-05,-2.7940425044211704e-05,-2.4785000173100653e-05,-2.278741204650089e-05,-3.0880956709659664e-05,-1.9394385966861496e-05,1.7832701089262493e-05,-9.112356124217279e-06,1.777733233659243e-05,-1.4365849815778974e-05,1.4946693672144467e-05,-0.0007089894901214993,0.005558166204035808,1.0
