domain,total_contribution,contribution_share_of_total_return
colombia-election,0.15436987215032177,1.0254507332413205
serie-a,0.08975096897419656,0.5961992172545634
natural-disasters,-0.08592936963229984,-0.570813034104224
roland-garros,-0.0723604358738758,-0.480677097097491
best-of-2025,0.07187744663118734,0.4774686881886576
basketball,0.06043495030047738,0.401458284804948
usdptai,-0.055963507890701286,-0.3717553134033378
primaries,-0.04622416436297271,-0.30705864155487594
nba-champion,0.043294838747909924,0.2875996690363031
uefa-europa-league,0.040671993247781486,0.27017658768098307
new-mexico-primary,-0.04048131554132643,-0.26890995066707984
nba,-0.031262485695669355,-0.2076709556923968
ligue-1,0.026117781052986788,0.17349562682374575
hockey,-0.020122640697211796,-0.13367100957117986
awards,0.01830760166002949,0.12161403831368091
la-liga,-0.0019429775398641935,-0.012906843253617354
