category_a,category_b,correlation,abs_correlation
nba,roland-garros,0.025442278905651452,0.025442278905651452
awards,serie-a,-0.021216210781575078,0.021216210781575078
la-liga,serie-a,0.010506153331011178,0.010506153331011178
colombia-election,hockey,-0.008608740564640695,0.008608740564640695
awards,new-mexico-primary,-0.007346871787787182,0.007346871787787182
uefa-europa-league,usdptai,0.005558166204035808,0.005558166204035808
ligue-1,new-mexico-primary,0.004986516592256178,0.004986516592256178
awards,roland-garros,0.002971491130274034,0.002971491130274034
basketball,new-mexico-primary,-0.002793944876183589,0.002793944876183589
roland-garros,serie-a,0.002544183333573426,0.002544183333573426
la-liga,nba,0.0020313547003310574,0.0020313547003310574
serie-a,uefa-europa-league,-0.001065666870570502,0.001065666870570502
serie-a,usdptai,-0.0007089894901214993,0.0007089894901214993
roland-garros,uefa-europa-league,0.0004474994554589427,0.0004474994554589427
la-liga,roland-garros,0.00036271590403818475,0.00036271590403818475
hockey,la-liga,-0.0002971687934324172,0.0002971687934324172
awards,uefa-europa-league,0.00020154571067576254,0.00020154571067576254
ligue-1,uefa-europa-league,-0.00018567349652366487,0.00018567349652366487
best-of-2025,uefa-europa-league,-0.00017495858026758007,0.00017495858026758007
colombia-election,uefa-europa-league,-0.00016799338378960908,0.00016799338378960908
la-liga,uefa-europa-league,-0.0001632192157383415,0.0001632192157383415
hockey,uefa-europa-league,-0.00014902121351829248,0.00014902121351829248
best-of-2025,ligue-1,-0.00014796571952876265,0.00014796571952876265
awards,ligue-1,-0.00014434028061425844,0.00014434028061425844
colombia-election,ligue-1,-0.00014207512355486794,0.00014207512355486794
awards,best-of-2025,-0.000136010637191165,0.000136010637191165
best-of-2025,colombia-election,-0.00013387619867078482,0.00013387619867078482
awards,colombia-election,-0.00013059597956373398,0.00013059597956373398
hockey,ligue-1,-0.00012603000692826404,0.00012603000692826404
best-of-2025,hockey,-0.00011875701969382932,0.00011875701969382932
natural-disasters,uefa-europa-league,-0.00011660984111513598,0.00011660984111513598
la-liga,ligue-1,-0.00011587240984628961,0.00011587240984628961
awards,hockey,-0.00011584724895815183,0.00011584724895815183
best-of-2025,la-liga,-0.00010918560106022842,0.00010918560106022842
nba,uefa-europa-league,0.0001072201225770022,0.0001072201225770022
new-mexico-primary,uefa-europa-league,0.00010688721482407672,0.00010688721482407672
colombia-election,la-liga,-0.00010483886274772743,0.00010483886274772743
ligue-1,natural-disasters,-9.861910755303845e-05,9.861910755303845e-05
ligue-1,serie-a,-9.745388904999553e-05,9.745388904999553e-05
best-of-2025,natural-disasters,-9.292795885134213e-05,9.292795885134213e-05
best-of-2025,serie-a,-9.182998321771133e-05,9.182998321771133e-05
ligue-1,nba,9.067804826035916e-05,9.067804826035916e-05
awards,natural-disasters,-9.065104877150825e-05,9.065104877150825e-05
colombia-election,natural-disasters,-8.92284461397799e-05,8.92284461397799e-05
colombia-election,serie-a,-8.817418151480326e-05,8.817418151480326e-05
primaries,uefa-europa-league,-8.637548347053929e-05,8.637548347053929e-05
best-of-2025,nba,8.544516520722794e-05,8.544516520722794e-05
best-of-2025,new-mexico-primary,8.517986651828862e-05,8.517986651828862e-05
awards,nba,8.335159767020147e-05,8.335159767020147e-05
new-mexico-primary,serie-a,8.311761673760564e-05,8.311761673760564e-05
colombia-election,nba,8.204354659069022e-05,8.204354659069022e-05
colombia-election,new-mexico-primary,8.178880958721538e-05,8.178880958721538e-05
hockey,natural-disasters,-7.915151789997909e-05,7.915151789997909e-05
hockey,serie-a,-7.821631563046511e-05,7.821631563046511e-05
ligue-1,roland-garros,7.600290070199601e-05,7.600290070199601e-05
ligue-1,primaries,-7.304934997652607e-05,7.304934997652607e-05
hockey,nba,7.277803803036048e-05,7.277803803036048e-05
la-liga,natural-disasters,-7.277217026007652e-05,7.277217026007652e-05
hockey,new-mexico-primary,7.255206950392465e-05,7.255206950392465e-05
best-of-2025,roland-garros,7.161689660615888e-05,7.161689660615888e-05
best-of-2025,primaries,-6.883379050134792e-05,6.883379050134792e-05
colombia-election,roland-garros,6.876578890260001e-05,6.876578890260001e-05
awards,primaries,-6.714723294253832e-05,6.714723294253832e-05
la-liga,new-mexico-primary,6.670461533450675e-05,6.670461533450675e-05
colombia-election,primaries,-6.609347976933254e-05,6.609347976933254e-05
natural-disasters,serie-a,-6.120465618917115e-05,6.120465618917115e-05
hockey,roland-garros,6.0999791061068874e-05,6.0999791061068874e-05
hockey,primaries,-5.862927657441278e-05,5.862927657441278e-05
awards,la-liga,-5.7476778344297234e-05,5.7476778344297234e-05
natural-disasters,nba,5.69491769059451e-05,5.69491769059451e-05
natural-disasters,new-mexico-primary,5.6772355409577695e-05,5.6772355409577695e-05
nba,serie-a,5.627630289287986e-05,5.627630289287986e-05
nba-champion,uefa-europa-league,-5.478855590711192e-05,5.478855590711192e-05
la-liga,primaries,-5.390395295374993e-05,5.390395295374993e-05
nba,new-mexico-primary,-5.220090215190163e-05,5.220090215190163e-05
basketball,uefa-europa-league,-4.944181129465444e-05,4.944181129465444e-05
natural-disasters,roland-garros,4.773264004332241e-05,4.773264004332241e-05
ligue-1,nba-champion,-4.6335698908501415e-05,4.6335698908501415e-05
natural-disasters,primaries,-4.587770066171677e-05,4.587770066171677e-05
primaries,serie-a,-4.533563992912011e-05,4.533563992912011e-05
new-mexico-primary,roland-garros,-4.375281624295717e-05,4.375281624295717e-05
best-of-2025,nba-champion,-4.3661740897437654e-05,4.3661740897437654e-05
awards,nba-champion,-4.259194598123397e-05,4.259194598123397e-05
nba,primaries,4.218351248453818e-05,4.218351248453818e-05
new-mexico-primary,primaries,4.2052536898850895e-05,4.2052536898850895e-05
colombia-election,nba-champion,-4.192354318540984e-05,4.192354318540984e-05
basketball,ligue-1,-4.1813857724667625e-05,4.1813857724667625e-05
basketball,best-of-2025,-3.940084783229241e-05,3.940084783229241e-05
