category,airdrops,best-of-2025,bundesliga,claude-5,economic-policy,grooming-gangs,hockey,ligue-1,nba,nba-champion,primaries,republican-primary,serie-a,south-carolina-primary,south-dakota-midterm,tennis,uefa-europa-league,west-virginia-primary
airdrops,0.9999999999999999,-0.00011190319084505696,-6.47085686905801e-05,-5.740833615267709e-05,0.0001404227387255536,-0.00012564713111535623,0.009256852765881233,-0.0995927003138299,-0.00011599553701155736,-4.986930032894377e-05,-5.970601695937501e-05,-0.00012777353220419868,-3.133969386317834e-05,0.00021259825032203622,-0.00010610849353713887,-0.001337994372264926,-0.0001300540270885413,-0.00010549056596634834
best-of-2025,-0.00011190319084505696,1.0,-8.201322641215529e-05,-7.276073271452508e-05,0.00017797522179145806,-0.0001592482544541563,-0.00014223793372693667,-1.1138146573269868e-05,-0.00014701558745979962,-6.320557387771063e-05,-7.567286970095092e-05,-0.00016194330732692078,-3.9720696354436454e-05,-8.450735291080523e-05,-0.00013448450616063387,-0.00013321615412127522,-0.00016483366245401192,-0.00013370132960774405
bundesliga,-6.47085686905801e-05,-8.201322641215529e-05,1.0,-4.207425038803212e-05,0.00010291504449108863,-9.208608382284358e-05,0.0002977035791205021,-6.4406878586693684e-06,-8.501248416499835e-05,-3.65489329482674e-05,0.007975920621659032,-9.364451135851346e-05,-2.2968687390223807e-05,-4.8866791102136086e-05,-7.77663249724823e-05,-7.703289418786137e-05,-9.531587338017694e-05,-7.73134492913916e-05
claude-5,-5.740833615267709e-05,-7.276073271452508e-05,-4.207425038803212e-05,1.0,9.130446846326924e-05,0.013569115746625207,-7.297060120800992e-05,-5.7140681848951265e-06,-7.54216229299654e-05,-3.242558862256826e-05,-3.8821534119121625e-05,-8.307980991867302e-05,-2.037742687508572e-05,-4.335378184160938e-05,0.01164562753943257,-6.834226708825805e-05,-8.456261373761233e-05,-0.016462081642629755
economic-policy,0.0001404227387255536,0.00017797522179145806,0.00010291504449108863,9.130446846326924e-05,1.0,0.00019983412321708524,0.00017848856724966302,1.3976804721420725e-05,0.0001844838495716896,7.931409032757248e-05,9.495879009690359e-05,0.00020321603487256592,4.984387776662159e-05,0.00010604482185510816,0.00016875910801666266,0.00016716750490248543,0.00020684302334153046,0.00016777633178273823
grooming-gangs,-0.00012564713111535623,-0.0001592482544541563,-9.208608382284358e-05,0.013569115746625207,0.00019983412321708524,1.0,-0.00015970758450768006,-1.2506132776961428e-05,-0.00016507202926089484,-7.09684770225201e-05,-5.7790236615347365e-05,-0.00018183317039756388,-4.459918886270996e-05,-9.488653872343867e-05,0.0006540981268214221,-0.00014957775070717727,-0.0001850785186926476,0.0019667637714444563
hockey,0.009256852765881233,-0.00014223793372693667,0.0002977035791205021,-7.297060120800992e-05,0.00017848856724966302,-0.00015970758450768006,0.9999999999999999,-0.00349024622094608,-0.00014743963403970515,-6.338788180775337e-05,-5.570246344069528e-05,-0.00016241041089598264,-3.98352653313134e-05,-8.475110294165396e-05,-0.00013487240853121007,-0.00013360039810192523,-0.0001653091028615494,-0.00013408697301146922
ligue-1,-0.0995927003138299,-1.1138146573269868e-05,-6.4406878586693684e-06,-5.7140681848951265e-06,1.3976804721420725e-05,-1.2506132776961428e-05,-0.00349024622094608,1.0,-1.1545473219515545e-05,-4.963679519552149e-06,-5.94276502017228e-06,-1.2717781496019794e-05,-3.1193579126159644e-06,-6.636557366072277e-06,-1.0561378498330869e-05,0.0009706126432273549,-1.2944767751636117e-05,-1.0499873836996012e-05
nba,-0.00011599553701155736,-0.00014701558745979962,-8.501248416499835e-05,-7.54216229299654e-05,0.0001844838495716896,-0.00016507202926089484,-0.00014743963403970515,-1.1545473219515545e-05,1.0,-6.551702796589696e-05,-7.844025797549608e-05,-0.00016786564133656885,-4.1173298717507124e-05,-8.759782190560428e-05,-0.0001394026604070336,-0.00013808792420680327,-0.00017086169795112055,-0.00013859084276232077
nba-champion,-4.986930032894377e-05,-6.320557387771063e-05,-3.65489329482674e-05,-3.242558862256826e-05,7.931409032757248e-05,-7.09684770225201e-05,-6.338788180775337e-05,-4.963679519552149e-06,-6.551702796589696e-05,1.0,-3.372337318865896e-05,-7.216951874527585e-05,-1.770140172782609e-05,-3.766043247281642e-05,-5.9932591525475827e-05,-5.9367354481777905e-05,0.03388942181569845,-5.9583571390911645e-05
primaries,-5.970601695937501e-05,-7.567286970095092e-05,0.007975920621659032,-3.8821534119121625e-05,9.495879009690359e-05,-5.7790236615347365e-05,-5.570246344069528e-05,-5.94276502017228e-06,-7.844025797549608e-05,-3.372337318865896e-05,1.0,-8.640495217966008e-05,-2.1193002203662798e-05,-4.508895061867147e-05,-7.175429176740832e-05,-7.107756174924953e-05,-8.794710295242673e-05,-7.133642743131225e-05
republican-primary,-0.00012777353220419868,-0.00016194330732692078,-9.364451135851346e-05,-8.307980991867302e-05,0.00020321603487256592,-0.00018183317039756388,-0.00016241041089598264,-1.2717781496019794e-05,-0.00016786564133656885,-7.216951874527585e-05,-8.640495217966008e-05,0.9999999999999999,-4.535396744713102e-05,-9.649236002207712e-05,-0.00015355737623848966,-0.00015210914389655433,-0.00018821071248152039,-0.0001526631279713284
serie-a,-3.133969386317834e-05,-3.9720696354436454e-05,-2.2968687390223807e-05,-2.037742687508572e-05,4.984387776662159e-05,-4.459918886270996e-05,-3.98352653313134e-05,-3.1193579126159644e-06,-4.1173298717507124e-05,-1.770140172782609e-05,-2.1193002203662798e-05,-4.535396744713102e-05,1.0,-0.0075700884947866335,-3.7663834432131534e-05,-3.7308618782565635e-05,-0.0016607019209758165,-3.7444497403193655e-05
south-carolina-primary,0.00021259825032203622,-8.450735291080523e-05,-4.8866791102136086e-05,-4.335378184160938e-05,0.00010604482185510816,-9.488653872343867e-05,-8.475110294165396e-05,-6.636557366072277e-06,-8.759782190560428e-05,-3.766043247281642e-05,-4.508895061867147e-05,-9.649236002207712e-05,-0.0075700884947866335,1.0,-8.013129779822551e-05,-7.937556245085884e-05,0.001435125016862845,-7.966464959182564e-05
south-dakota-midterm,-0.00010610849353713887,-0.00013448450616063387,-7.77663249724823e-05,0.01164562753943257,0.00016875910801666266,0.0006540981268214221,-0.00013487240853121007,-1.0561378498330869e-05,-0.0001394026604070336,-5.9932591525475827e-05,-7.175429176740832e-05,-0.00015355737623848966,-3.7663834432131534e-05,-8.013129779822551e-05,0.9999999999999999,-0.00012631780489791568,-0.00015629805973470611,0.03219266249886722
tennis,-0.001337994372264926,-0.00013321615412127522,-7.703289418786137e-05,-6.834226708825805e-05,0.00016716750490248543,-0.00014957775070717727,-0.00013360039810192523,0.0009706126432273549,-0.00013808792420680327,-5.9367354481777905e-05,-7.107756174924953e-05,-0.00015210914389655433,-3.7308618782565635e-05,-7.937556245085884e-05,-0.00012631780489791568,0.9999999999999999,-0.0001548239794226129,-0.00012558218749607943
