category,airdrops,best-of-2025,bundesliga,claude-5,economic-policy,grooming-gangs,hockey,ligue-1,nba,nba-champion,primaries,republican-primary,serie-a,south-carolina-primary,south-dakota-midterm,tennis,uefa-europa-league,west-virginia-primary
airdrops,0.00011612653256148408,-4.3897576622803125e-07,-2.6161064475683627e-08,-2.761899342783708e-08,1.589821024643795e-08,-8.040018645993461e-08,3.659507171655501e-06,-1.817556573078986e-05,-5.456596366608167e-08,-1.4158172384786486e-08,-2.105435379483964e-08,-3.939298268909858e-08,-1.0727593474107943e-08,9.616167621393687e-08,-4.304772991434022e-08,-2.3602141982081197e-06,-1.3829418891963641e-08,-2.0479415511852455e-08
best-of-2025,-4.3897576622803125e-07,0.1325148935123207,-1.1200673343039882e-06,-1.1824875235345143e-06,6.806705433367823e-07,-3.442276693650164e-06,-1.8995087473399726e-06,-6.866571950739513e-08,-2.336202853060684e-06,-6.061720621645118e-07,-9.014271553208005e-07,-1.6865824841291696e-06,-4.592942705833116e-07,-1.2912295425182567e-06,-1.843057882365978e-06,-7.938174475575442e-06,-5.920967156245833e-07,-8.768115824103938e-07
bundesliga,-2.6161064475683627e-08,-1.1200673343039882e-06,0.0014075238951221367,-7.047116202038249e-08,4.0565031924067794e-08,-2.05144860955591e-07,4.097372623213751e-07,-4.092181057595943e-09,-1.3922762523397895e-07,-3.612524339989505e-08,9.791896144485419e-06,-1.0051304993438293e-07,-2.7371959799257264e-08,-7.695171787041149e-08,-1.0983830954337536e-07,-4.730809995713414e-07,-3.528641338540016e-08,-5.2254192839765875e-08
claude-5,-2.761899342783708e-08,-1.1824875235345143e-06,-7.047116202038249e-08,0.001993123981979137,4.2825679022053485e-08,3.5971409397623094e-05,-1.1951119775858274e-07,-4.320234057765897e-09,-1.469866361854302e-07,-3.8138465694627295e-08,-5.6715000220641953e-08,-1.061145378136251e-07,-2.8897370690149313e-08,-8.124015718470593e-08,1.957331699241423e-05,-4.994453123320218e-07,-3.72528885546373e-08,-1.324006491869885e-05
economic-policy,1.589821024643795e-08,6.806705433367823e-07,4.0565031924067794e-08,4.2825679022053485e-08,0.0001103799353738075,1.246675621123801e-07,6.879375071122064e-08,2.486838977084799e-09,8.460932696907464e-08,2.195349181258033e-08,3.264662776326048e-08,6.108228515903265e-08,1.6634077414935448e-08,4.676394535342902e-08,6.67492922490594e-08,2.874936989575128e-07,2.144373060068921e-08,3.1755135376724245e-08
grooming-gangs,-8.040018645993461e-08,-3.442276693650164e-06,-2.05144860955591e-07,3.5971409397623094e-05,1.246675621123801e-07,0.0035259609615971035,-3.4790270720566353e-07,-1.2576404158340896e-08,-4.2788499831842855e-07,-1.1102286407198513e-07,-1.122926445115279e-07,-3.0890440119103785e-07,-8.412160268476286e-08,-2.3649391143637318e-07,1.4622311499220453e-06,-1.453908750981556e-06,-1.0844490744348507e-07,2.103919677843172e-06
hockey,3.659507171655501e-06,-1.8995087473399726e-06,4.097372623213751e-07,-1.1951119775858274e-07,6.879375071122064e-08,-3.4790270720566353e-07,0.0013458201745669088,-2.1684243882942336e-06,-2.361144583933974e-07,-6.12643666467883e-08,-6.68691813954287e-08,-1.704588748593568e-07,-4.6419778059891804e-08,-1.3050149463426328e-07,-1.8627347069300596e-07,-8.022923884701237e-07,-5.984180489423133e-08,-8.861725839545781e-08
ligue-1,-1.817556573078986e-05,-6.866571950739513e-08,-4.092181057595943e-09,-4.320234057765897e-09,2.486838977084799e-09,-1.2576404158340896e-08,-2.1684243882942336e-06,0.00028680677157504557,-8.535348518076838e-09,-2.21465777499436e-09,-3.2933762255453355e-09,-6.161951770440789e-09,-1.6780377896757237e-09,-4.717524485423233e-09,-6.733636740650809e-09,2.6907419345744207e-06,-2.163233307263305e-09,-3.2034428991275494e-09
nba,-5.456596366608167e-08,-2.336202853060684e-06,-1.3922762523397895e-07,-1.469866361854302e-07,8.460932696907464e-08,-4.2788499831842855e-07,-2.361144583933974e-07,-8.535348518076838e-09,0.0019055907706855895,-7.534894922258788e-08,-1.120500154883343e-07,-2.0964710498628395e-07,-5.7091612815066196e-08,-1.6050358521391208e-07,-2.290974517974343e-07,-9.86738160357258e-07,-7.359934273636887e-08,-1.0899022822811406e-07
nba-champion,-1.4158172384786486e-08,-6.061720621645118e-07,-3.612524339989505e-08,-3.8138465694627295e-08,2.195349181258033e-08,-1.1102286407198513e-07,-6.12643666467883e-08,-2.21465777499436e-09,-7.534894922258788e-08,0.0006940909518156377,-2.9073497990614264e-08,-5.439691069200758e-08,-1.4813499875263277e-08,-4.1645694039989044e-08,-5.944367143064878e-08,-2.560278978756279e-07,8.810219905469814e-06,-2.8279578254199928e-08
