category,baseline_exposure,constrained_exposure,delta_exposure
ligue-1,0.05555555555555555,0.09178369864821434,0.03622814309265879
grooming-gangs,0.05555555555555555,0.08724476024508476,0.03168920468952921
republican-primary,0.05555555555555555,0.055506039410829544,-4.9516144726008404e-05
serie-a,0.05555555555555555,0.05519763380289078,-0.0003579217526647749
tennis,0.05555555555555555,0.054706960916519165,-0.0008485946390363874
economic-policy,0.05555555555555555,0.05408906191587448,-0.0014664936396810713
west-virginia-primary,0.05555555555555555,0.053901247680187225,-0.0016543078753683271
airdrops,0.05555555555555555,0.05296974629163742,-0.002585809263918132
south-dakota-midterm,0.05555555555555555,0.051868218928575516,-0.0036873366269800367
primaries,0.05555555555555555,0.05183880776166916,-0.0037167477938863935
south-carolina-primary,0.05555555555555555,0.05174114182591438,-0.0038144137296411695
uefa-europa-league,0.05555555555555555,0.05112125352025032,-0.004434302035305232
hockey,0.05555555555555555,0.05050121620297432,-0.005054339352581233
nba-champion,0.05555555555555555,0.05007622390985489,-0.0054793316457006636
nba,0.05555555555555555,0.04954938963055611,-0.006006165924999446
bundesliga,0.05555555555555555,0.04767955467104912,-0.007876000884506434
best-of-2025,0.05555555555555555,0.045906953513622284,-0.009648602041933269
claude-5,0.05555555555555555,0.044317908585071564,-0.011237646970483989
