domain,total_contribution,contribution_share_of_total_return
tennis,0.4233106523299287,0.3049585464958727
grooming-gangs,0.4186994804093759,0.30163659775965623
nba,0.2214560129377038,0.15953981655443097
south-carolina-primary,0.1681376651698758,0.12112857944678238
primaries,0.11881696768442665,0.08559730203965862
republican-primary,0.10099489893764257,0.07275804994275473
west-virginia-primary,0.10043145319876579,0.07235213624176136
ligue-1,-0.07563009876665132,-0.05448491518999418
airdrops,0.058910210845245475,0.042439688616976695
economic-policy,-0.05068355430213231,-0.036513097334428014
uefa-europa-league,0.048821713858470894,0.03517180305709033
bundesliga,-0.04675800268677598,-0.033685078459342994
claude-5,-0.04200983802779848,-0.03026443835743438
south-dakota-midterm,-0.03574889508097236,-0.02575397293387696
nba-champion,-0.029622662945554688,-0.021340554945857217
best-of-2025,-0.020131105641174447,-0.01450271256321365
hockey,0.01936564496792588,0.013951264653672983
serie-a,0.00973189522822698,0.007010984975490514
