category,best-of-2025,celebrities,claude-5,epstein,hockey,ligue-1,middle-east,nba,nba-champion,primaries,republican-primary,serie-a,south-dakota-midterm,tennis
best-of-2025,1.0,-0.00022188082890970193,-6.274037927022066e-05,-0.00010399190429315415,-0.0001723170943933487,-0.00018666561803203552,0.0001033643466447375,0.00011765651333090029,-7.509205098205495e-05,-9.017672268608655e-05,-0.00020373918411086323,-4.7172566720044667e-05,-0.00014896296153046285,-0.00015885499702371928
celebrities,-0.00022188082890970193,1.0,-8.261503983497468e-05,-0.00013693406727254925,-0.002338417175146019,-0.0002457968480413079,0.03859936636001161,0.00015492729959141455,-9.887942749681316e-05,-0.00011874256457411299,-0.00026827891394742024,-6.211571437765497e-05,-0.0001961508863019626,-0.000209176483466496
claude-5,-6.274037927022066e-05,-8.261503983497468e-05,1.0,-3.8720313773435506e-05,-6.416049411527644e-05,-6.950301900942e-05,3.848664915095649e-05,4.3808190114669096e-05,-2.795975124870812e-05,-3.357637328789001e-05,-7.586018537056363e-05,-1.7564219035257606e-05,0.011585102339657209,-5.914802090648427e-05
epstein,-0.00010399190429315415,-0.00013693406727254925,-3.8720313773435506e-05,1.0,-0.00010634573843904303,-0.00011520095008961914,6.379145267567713e-05,7.261188355332496e-05,-4.63431654340674e-05,-5.565269190399481e-05,-0.00012573792553499565,-2.911261624721364e-05,0.005506984412973663,0.0026857862247040205
hockey,-0.0001723170943933487,-0.002338417175146019,-6.416049411527644e-05,-0.00010634573843904303,1.0,-0.00019089075371518083,-0.07868791496224223,0.08071001412713572,-7.67917432310603e-05,-7.207124789199676e-05,-0.00020835077625041832,-4.824030751246422e-05,-0.00015233470578023312,-0.00016245064534635347
ligue-1,-0.00018666561803203552,-0.0002457968480413079,-6.950301900942e-05,-0.00011520095008961914,-0.00019089075371518083,1.0,-0.019358574766283953,0.0001303384355934342,-8.318604872283893e-05,-9.989666214901477e-05,-0.00022569975749161232,-5.225718810760752e-05,-0.00016501933312132845,-0.0001759776081417615
middle-east,0.0001033643466447375,0.03859936636001161,3.848664915095649e-05,6.379145267567713e-05,-0.07868791496224223,-0.019358574766283953,1.0,-7.217369422311164e-05,4.606349935700516e-05,5.531684583312269e-05,0.00012497913765239808,2.8936930984830506e-05,9.137791807438879e-05,9.744596075831596e-05
nba,0.00011765651333090029,0.00015492729959141455,4.3808190114669096e-05,7.261188355332496e-05,0.08071001412713572,0.0001303384355934342,-7.217369422311164e-05,1.0,5.243268982091691e-05,6.2965494587389e-05,0.00014225997699016826,3.2938034406329947e-05,0.00010401272377816107,0.00011091979346039821
nba-champion,-7.509205098205495e-05,-9.887942749681316e-05,-2.795975124870812e-05,-4.63431654340674e-05,-7.67917432310603e-05,-8.318604872283893e-05,4.606349935700516e-05,5.243268982091691e-05,1.0,-4.018653957872043e-05,-9.079474771454394e-05,-2.102207934661996e-05,-6.638415958125143e-05,-7.079246655917794e-05
primaries,-9.017672268608655e-05,-0.00011874256457411299,-3.357637328789001e-05,-5.565269190399481e-05,-7.207124789199676e-05,-9.989666214901477e-05,5.531684583312269e-05,6.2965494587389e-05,-4.018653957872043e-05,0.9999999999999998,-0.0001090338148836036,-2.5245045177658943e-05,-7.971956912906821e-05,-8.501342740920482e-05
republican-primary,-0.00020373918411086323,-0.00026827891394742024,-7.586018537056363e-05,-0.00012573792553499565,-0.00020835077625041832,-0.00022569975749161232,0.00012497913765239808,0.00014225997699016826,-9.079474771454394e-05,-0.0001090338148836036,1.0,-5.7036946499404366e-05,-0.0001801129991002884,-0.00019207358421212205
serie-a,-4.7172566720044667e-05,-6.211571437765497e-05,-1.7564219035257606e-05,-2.911261624721364e-05,-4.824030751246422e-05,-5.225718810760752e-05,2.8936930984830506e-05,3.2938034406329947e-05,-2.102207934661996e-05,-2.5245045177658943e-05,-5.7036946499404366e-05,1.0,-4.170229945842329e-05,-4.447158265576869e-05
south-dakota-midterm,-0.00014896296153046285,-0.0001961508863019626,0.011585102339657209,0.005506984412973663,-0.00015233470578023312,-0.00016501933312132845,9.137791807438879e-05,0.00010401272377816107,-6.638415958125143e-05,-7.971956912906821e-05,-0.0001801129991002884,-4.170229945842329e-05,1.0,-0.00014043371215445726
tennis,-0.00015885499702371928,-0.000209176483466496,-5.914802090648427e-05,0.0026857862247040205,-0.00016245064534635347,-0.0001759776081417615,9.744596075831596e-05,0.00011091979346039821,-7.079246655917794e-05,-8.501342740920482e-05,-0.00019207358421212205,-4.447158265576869e-05,-0.00014043371215445726,1.0
