category,best-of-2025,celebrities,claude-5,epstein,hockey,ligue-1,middle-east,nba,nba-champion,primaries,republican-primary,serie-a,south-dakota-midterm,tennis
best-of-2025,0.15743332590900252,-1.3637957057208318e-06,-1.2247725665884974e-06,-9.806763982998557e-07,-2.739714349282642e-06,-2.1574006853841707e-06,5.975058779722777e-07,9.761513660086555e-07,-8.556006846486261e-07,-1.2761898555776003e-06,-2.678152574959632e-06,-6.480098609535371e-07,-2.414158808137717e-06,-1.1246010295096624e-05
celebrities,-1.3637957057208318e-06,0.00023997301475409176,-6.296515772750537e-08,-5.041625341967477e-08,-1.451549271479517e-06,-1.1091126478690951e-07,8.711329926147282e-06,5.018362298712789e-08,-4.3986151821411656e-08,-6.560850376532322e-08,-1.3768294939064638e-07,-3.331397535917377e-08,-1.2411111603931825e-07,-5.78153717149513e-07
claude-5,-1.2247725665884974e-06,-6.296515772750537e-08,0.002420582841689447,-4.5276901693977635e-08,-1.2649002002811939e-07,-9.960514897269369e-08,2.7586281208995956e-08,4.506798523329312e-08,-3.950227430301809e-08,-5.89204784922059e-08,-1.2364777113851491e-07,-2.9918002331846886e-08,2.328086176610722e-05,-5.192176577954735e-07
epstein,-9.806763982998557e-07,-5.041625341967477e-08,-4.5276901693977635e-08,0.0005648793701639783,-1.012806627499592e-07,-7.975392445206129e-08,2.208835798296707e-08,3.608597272906087e-08,-3.162950342367624e-08,-4.7177675439600716e-08,-9.900487173359544e-08,-2.3955368997892536e-08,5.346024032048207e-06,1.1389340053059723e-05
hockey,-2.739714349282642e-06,-1.451549271479517e-06,-1.2649002002811939e-07,-1.012806627499592e-07,0.0016056732507439468,-2.2280843264070723e-07,-4.5936690879709706e-05,6.762524732932079e-05,-8.836330163626041e-08,-1.0300614483614944e-07,-2.765897784505303e-07,-6.692408250027025e-08,-2.4932547015073306e-07,-1.1614467095923362e-06
ligue-1,-2.1574006853841707e-06,-1.1091126478690951e-07,-9.960514897269369e-08,-7.975392445206129e-08,-2.2280843264070723e-07,0.0008484696053866954,-8.215133167606113e-06,7.938592427981275e-08,-6.958208893667698e-08,-1.0378668182968542e-07,-2.1780189520694468e-07,-5.269967706399553e-08,-1.9633249003778838e-07,-9.145865619048004e-07
middle-east,5.975058779722777e-07,8.711329926147282e-06,2.7586281208995956e-08,2.208835798296707e-08,-4.5936690879709706e-05,-8.215133167606113e-06,0.00021224925081143913,-2.1986437988455023e-08,1.9271203269248665e-08,2.8744383400170742e-08,6.032162384173667e-08,1.4595511638752223e-08,5.437553516565389e-08,2.533005808122544e-07
nba,9.761513660086555e-07,5.018362298712789e-08,4.506798523329312e-08,3.608597272906087e-08,6.762524732932079e-05,7.938592427981275e-08,-2.1986437988455023e-08,0.0004372257323769555,3.148355872204468e-08,4.695998843789668e-08,9.854804393356084e-08,2.3844834250190877e-08,8.88338590233368e-08,4.138197080333026e-07
nba-champion,-8.556006846486261e-07,-4.3986151821411656e-08,-3.950227430301809e-08,-3.162950342367624e-08,-8.836330163626041e-08,-6.958208893667698e-08,1.9271203269248665e-08,3.148355872204468e-08,0.0008246271773378949,-4.1160622888683535e-08,-8.637776557656551e-08,-2.0900095231353337e-08,-7.786324257387052e-08,-3.6271467504277306e-07
primaries,-1.2761898555776003e-06,-6.560850376532322e-08,-5.89204784922059e-08,-4.7177675439600716e-08,-1.0300614483614944e-07,-1.0378668182968542e-07,2.8744383400170742e-08,4.695998843789668e-08,-4.1160622888683535e-08,0.0012721695919539037,-1.2883863951270904e-07,-3.117399272046223e-08,-1.1613861708860115e-07,-5.410149817129065e-07
republican-primary,-2.678152574959632e-06,-1.3768294939064638e-07,-1.2364777113851491e-07,-9.900487173359544e-08,-2.765897784505303e-07,-2.1780189520694468e-07,6.032162384173667e-08,9.854804393356084e-08,-8.637776557656551e-08,-1.2883863951270904e-07,0.0010975513158789374,-6.542028876909476e-08,-2.4372309108139415e-07,-1.1353488354680257e-06
serie-a,-6.480098609535371e-07,-3.331397535917377e-08,-2.9918002331846886e-08,-2.3955368997892536e-08,-6.692408250027025e-08,-5.269967706399553e-08,1.4595511638752223e-08,2.3844834250190877e-08,-2.0900095231353337e-08,-3.117399272046223e-08,-6.542028876909476e-08,0.0011986366265049847,-5.8971608951445806e-08,-2.74710727045318e-07
south-dakota-midterm,-2.414158808137717e-06,-1.2411111603931825e-07,2.328086176610722e-05,5.346024032048207e-06,-2.4932547015073306e-07,-1.9633249003778838e-07,5.437553516565389e-08,8.88338590233368e-08,-7.786324257387052e-08,-1.1613861708860115e-07,-2.4372309108139415e-07,-5.8971608951445806e-08,0.001668316344776758,-1.0234339959124226e-06
tennis,-1.1246010295096624e-05,-5.78153717149513e-07,-5.192176577954735e-07,1.1389340053059723e-05,-1.1614467095923362e-06,-9.145865619048004e-07,2.533005808122544e-07,4.138197080333026e-07,-3.6271467504277306e-07,-5.410149817129065e-07,-1.1353488354680257e-06,-2.74710727045318e-07,-1.0234339959124226e-06,0.031834535804831234
