category,baseline_exposure,constrained_exposure,delta_exposure
ligue-1,0.07142857142857142,0.10086111724376678,0.02943254581519536
republican-primary,0.07142857142857142,0.07166247814893723,0.00023390672036580074
celebrities,0.07142857142857142,0.07155502587556839,0.00012645444699696529
best-of-2025,0.07142857142857142,0.0713551789522171,-7.339247635432256e-05
middle-east,0.07142857142857142,0.07084309309720993,-0.0005854783313614942
primaries,0.07142857142857142,0.07058446854352951,-0.0008441028850419141
nba-champion,0.07142857142857142,0.07003600150346756,-0.0013925699251038648
hockey,0.07142857142857142,0.0699082538485527,-0.0015203175800187207
south-dakota-midterm,0.07142857142857142,0.06982254981994629,-0.0016060216086251355
epstein,0.07142857142857142,0.0691869929432869,-0.002241578485284529
tennis,0.07142857142857142,0.06899605691432953,-0.002432514514241896
nba,0.07142857142857142,0.06820811331272125,-0.003220458115850172
serie-a,0.07142857142857142,0.0669955462217331,-0.004433025206838331
claude-5,0.07142857142857142,0.05998523160815239,-0.011443339820419035
