category_a,category_b,correlation,abs_correlation
hockey,nba,0.08071001412713572,0.08071001412713572
hockey,middle-east,-0.07868791496224223,0.07868791496224223
celebrities,middle-east,0.03859936636001161,0.03859936636001161
ligue-1,middle-east,-0.019358574766283953,0.019358574766283953
claude-5,south-dakota-midterm,0.011585102339657209,0.011585102339657209
epstein,south-dakota-midterm,0.005506984412973663,0.005506984412973663
epstein,tennis,0.0026857862247040205,0.0026857862247040205
celebrities,hockey,-0.002338417175146019,0.002338417175146019
celebrities,republican-primary,-0.00026827891394742024,0.00026827891394742024
celebrities,ligue-1,-0.0002457968480413079,0.0002457968480413079
ligue-1,republican-primary,-0.00022569975749161232,0.00022569975749161232
best-of-2025,celebrities,-0.00022188082890970193,0.00022188082890970193
celebrities,tennis,-0.000209176483466496,0.000209176483466496
hockey,republican-primary,-0.00020835077625041832,0.00020835077625041832
best-of-2025,republican-primary,-0.00020373918411086323,0.00020373918411086323
celebrities,south-dakota-midterm,-0.0001961508863019626,0.0001961508863019626
republican-primary,tennis,-0.00019207358421212205,0.00019207358421212205
hockey,ligue-1,-0.00019089075371518083,0.00019089075371518083
best-of-2025,ligue-1,-0.00018666561803203552,0.00018666561803203552
republican-primary,south-dakota-midterm,-0.0001801129991002884,0.0001801129991002884
ligue-1,tennis,-0.0001759776081417615,0.0001759776081417615
best-of-2025,hockey,-0.0001723170943933487,0.0001723170943933487
ligue-1,south-dakota-midterm,-0.00016501933312132845,0.00016501933312132845
hockey,tennis,-0.00016245064534635347,0.00016245064534635347
best-of-2025,tennis,-0.00015885499702371928,0.00015885499702371928
celebrities,nba,0.00015492729959141455,0.00015492729959141455
hockey,south-dakota-midterm,-0.00015233470578023312,0.00015233470578023312
best-of-2025,south-dakota-midterm,-0.00014896296153046285,0.00014896296153046285
nba,republican-primary,0.00014225997699016826,0.00014225997699016826
south-dakota-midterm,tennis,-0.00014043371215445726,0.00014043371215445726
celebrities,epstein,-0.00013693406727254925,0.00013693406727254925
ligue-1,nba,0.0001303384355934342,0.0001303384355934342
epstein,republican-primary,-0.00012573792553499565,0.00012573792553499565
middle-east,republican-primary,0.00012497913765239808,0.00012497913765239808
celebrities,primaries,-0.00011874256457411299,0.00011874256457411299
best-of-2025,nba,0.00011765651333090029,0.00011765651333090029
