category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,1.0,1.52283297411652e-05,0.0,6.028212864245407e-05,1.1726687438446803e-05,3.426241844733632e-05,4.052581038118403e-05,4.91123115332235e-05,3.600926801420701e-05,1.4620856247630193e-05,-2.1594546528972604e-06,-0.00019893623893834451,0.008159612732423294,1.6446556161141553e-05,1.9881256609161085e-06,1.282002562130669e-05,-5.474155508929581e-05,3.377418566361314e-05,-0.005417127558288516,1.8465708317742946e-06,-1.645701994320656e-05,-8.729288441785406e-06,2.808004695340296e-05,3.3292102694198894e-05,0.007498603533704926,-2.93405253290284e-05,5.823063120161252e-06,1.8179041063684503e-05,-5.042971648143741e-06,-4.925751039781439e-05,-5.4633898123215145e-05,8.065706368122775e-05,-2.4355869264754388e-05,-4.7967889060866834e-05,9.724598331439536e-06,0.002674168573031458,-3.045070847267973e-05,-3.706972037469357e-05,3.36219608758324e-05,6.0364236022835594e-05
2026-fifa-world-cup,1.52283297411652e-05,0.9999999999999999,0.0,-4.632621106542706e-05,-9.011841645371868e-06,-2.6330324830060135e-05,-3.114367869209788e-05,-3.7742318681109915e-05,-2.767276119647268e-05,-1.1235981338720908e-05,1.6595192354555997e-06,-1.868225663140837e-05,-2.103535131000034e-05,-1.263901340544041e-05,-1.5278546240207893e-06,-9.85206106969737e-06,4.206833587708826e-05,-2.595512283409285e-05,1.7907987933125278e-05,-1.4190711580110935e-06,1.2647054716977368e-05,6.7083705886332914e-06,-2.157923436323976e-05,-0.04860630477715454,7.557977163822228e-06,2.254789934882605e-05,-4.474965586433108e-06,-1.3970410671435551e-05,3.875473116659068e-06,3.785390255180373e-05,4.1985602578750066e-05,-6.198414422583602e-05,1.8717241173305194e-05,3.6862841492822215e-05,-7.473256253123086e-06,-8.942746009451777e-06,2.34010639565185e-05,2.8487708196239218e-05,-2.583813961191946e-05,-4.638930976348734e-05
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,6.028212864245407e-05,-4.632621106542706e-05,0.0,0.9999999999999998,-3.567383991582702e-05,0.020355767852038333,-0.00012328385825802752,-0.0001494049149624593,-0.0001095440523479277,-4.447821159625008e-05,6.5692924789974854e-06,-7.395467636490113e-05,-8.326952300493539e-05,-5.003218639013911e-05,-6.048091324371525e-06,-3.899989183918153e-05,0.000166529677135987,-0.0001027446923076504,7.088969379182673e-05,-5.617466363941843e-06,5.006401833656577e-05,2.6555430942108616e-05,-8.542251212055475e-05,-0.00010127814425072901,2.991864238628002e-05,8.925702242241176e-05,0.0013471620131723862,-0.05262449011261048,1.5341260199884053e-05,0.00014984662546925354,0.00016620217310776324,-0.000245367431591248,7.409316447823524e-05,0.002077718475013772,-2.958327029200927e-05,-3.540032127760542e-05,0.004159892623468465,-0.0017082361573604412,-0.00010228160818956955,-0.00018363447510844573
acquisitions,1.1726687438446803e-05,-9.011841645371868e-06,0.0,-3.567383991582702e-05,1.0,-2.0275860497045192e-05,-2.3982419077673258e-05,-2.9063750384862475e-05,-2.1309613504926242e-05,-8.6523501567754e-06,1.2779250057649868e-06,-0.004098869800749883,0.007842362565484881,-9.732765329823708e-06,-1.1765357023259656e-06,-7.5866521642572645e-06,3.239503177768938e-05,-1.9986933437559247e-05,1.3790177958620176e-05,-1.0927661933881355e-06,9.738957600977716e-06,5.165830163337358e-06,-1.6617248302328572e-05,-1.970164572353355e-05,5.820075961940276e-06,1.7363175906446974e-05,-3.4459801975561015e-06,-1.0758017597149918e-05,2.9843366073376395e-06,2.9149676366046336e-05,3.233132239216727e-05,-4.7731346630291515e-05,1.441334937449033e-05,2.8386502500716034e-05,-5.754836000883967e-06,-6.886427407122259e-06,1.8020161594176578e-05,2.1937169442286625e-05,-1.9896849646015413e-05,-3.572242953284262e-05
airdrops,3.426241844733632e-05,-2.6330324830060135e-05,0.0,0.020355767852038333,-2.0275860497045192e-05,1.0,-7.007057040888607e-05,-8.491693690669376e-05,-6.22613076957333e-05,-2.5279981510583014e-05,3.733774053557852e-06,-4.203345377500501e-05,-4.732771229806662e-05,-2.843668172538309e-05,-3.4375401205954197e-06,-2.2166281179623927e-05,9.465009963026488e-05,-5.839677065763564e-05,4.029141649434837e-05,-3.1927867762748415e-06,-0.021759936097144657,1.5093250810442333e-05,-4.855140189982816e-05,-5.756323202303533e-05,-0.001186534876054113,5.073081393224259e-05,-1.0068283657225283e-05,-0.04844308914050324,8.719477701185784e-06,8.51679909181736e-05,9.446395689923313e-05,-0.00013945893756324337,4.211216595382033e-05,8.293818966703571e-05,-0.005172703553106389,0.003127234811212715,5.265036015235166e-05,6.409486761944135e-05,-5.8133568574576195e-05,-0.00010437191534559669
anthropic,4.052581038118403e-05,-3.114367869209788e-05,0.0,-0.00012328385825802752,-2.3982419077673258e-05,-7.007057040888607e-05,1.0,0.027620117088513297,-7.364307787088101e-05,-2.9901325813077236e-05,4.416332125919122e-06,-4.97174412825102e-05,-5.597952454275495e-05,-3.363509126608577e-05,-4.065944711962137e-06,-2.621842090108805e-05,0.00011195275068140235,-6.907207844018735e-05,4.765694830763701e-05,-3.7764488715749515e-06,3.365649089901132e-05,1.7852394784093197e-05,-5.742691252684293e-05,-6.808616354620223e-05,2.0113377803897683e-05,6.0004735189999296e-05,-1.190883109970295e-05,-3.717822134409243e-05,1.0313454681677479e-05,0.00010073725110215619,0.00011173257985390116,-0.00016495293431596295,4.981054255725611e-05,9.809982774483272e-05,-1.9887917518974942e-05,-2.3798540957941404e-05,6.22751868877855e-05,0.0002089440720867896,-6.876076131216642e-05,-0.00012345177725612587
awards,4.91123115332235e-05,-3.7742318681109915e-05,0.0,-0.0001494049149624593,-2.9063750384862475e-05,-8.491693690669376e-05,0.027620117088513297,1.0,-8.924637776865073e-05,-3.623673937116328e-05,5.352052856245337e-06,-6.0251440796229456e-05,-6.784031763870069e-05,-4.0761605139308446e-05,-4.92742628691192e-06,-3.177351034049184e-05,0.00013567300238414513,-8.370688710956925e-05,5.775437603818981e-05,-4.576592836157192e-06,4.078753886966793e-05,2.163491281243973e-05,-6.959437434763245e-05,-8.251207918436532e-05,2.4374946914053906e-05,7.271837923536947e-05,-1.4432042628236991e-05,-4.5055444215123684e-05,1.2498642088730561e-05,0.00012208119251888962,0.0001354061823460282,-0.0001999027242699086,6.036426812198899e-05,0.00011888495890007818,-2.4101716702314336e-05,-2.8840912657112826e-05,7.546988821332616e-05,-0.0017483548662417447,-8.33296089346667e-05,-0.0001496084121922352
base,3.600926801420701e-05,-2.767276119647268e-05,0.0,-0.0001095440523479277,-2.1309613504926242e-05,-6.22613076957333e-05,-7.364307787088101e-05,-8.924637776865073e-05,0.9999999999999999,-2.6568866730993092e-05,3.924138361852346e-06,-4.41765050786898e-05,-4.974068830721436e-05,-2.9886509478539894e-05,-0.05088360520603194,-2.329641619146636e-05,9.947578015826329e-05,-6.137409619835057e-05,4.234565103590577e-05,-3.355569161464481e-06,2.9905524153636502e-05,1.586277146413948e-05,-5.102676701481798e-05,-6.049806007907812e-05,1.7871771229226958e-05,5.331729510784257e-05,-1.058160927003237e-05,-3.303476288514731e-05,9.164035223271578e-06,0.007900600302755087,9.92801470478606e-05,-0.00014656917074929335,4.4259230352367576e-05,8.716674524665688e-05,-1.7671438163710095e-05,-2.114622833302909e-05,5.533470828058001e-05,6.736270733459985e-05,-6.10974749094764e-05,-0.00010969325701898146
basketball,1.4620856247630193e-05,-1.1235981338720908e-05,0.0,-4.447821159625008e-05,-8.6523501567754e-06,-2.5279981510583014e-05,-2.9901325813077236e-05,-3.623673937116328e-05,-2.6568866730993092e-05,0.9999999999999999,1.5933193327286956e-06,-1.793700249678548e-05,-2.0196229845912466e-05,-1.2134830362471122e-05,7.410268828815946e-05,-9.459052377460883e-06,4.039018736068224e-05,-2.491974670216229e-05,1.71936201608988e-05,-1.362462972571071e-06,1.2142550897947936e-05,6.440766892975974e-06,-2.0718416853423813e-05,-2.4564049436597994e-05,7.256481801573318e-06,2.164844081186899e-05,-4.296454677853796e-06,-1.341311684335632e-05,3.7208765697438917e-06,0.0012542435713657008,0.001415880690431422,-5.951153394771304e-05,-0.04027078508868158,3.53923454184744e-05,-0.0016517262437064067,-8.586010815737402e-06,2.2467571819448224e-05,2.735130466972613e-05,-2.4807430059178927e-05,-4.4538793223348855e-05
