category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,2.9112161957360915e-05,6.371459331168959e-10,0.0,2.6886588597652176e-09,3.7527227889306816e-10,1.6560810137342724e-09,7.689967722467204e-11,6.852080607518891e-09,2.2201720204707658e-10,2.0133523475750743e-09,-5.7207285257664633e-11,-1.8060786237063754e-09,1.1247395892207073e-06,3.792485599782196e-10,3.92087653880348e-11,1.939565070428106e-10,-2.004534931340382e-09,2.9336311769180365e-09,-4.7396813546191806e-08,3.215817143602331e-11,-1.4019196998789553e-09,-1.243127119505186e-10,3.185729665584553e-09,2.108288766478321e-09,4.569127014381446e-07,-1.1919629545935862e-09,1.1372494804317129e-10,1.377160630527246e-09,-5.975470503963775e-11,-1.0048077579868392e-09,-5.354635526819027e-10,4.902627750459799e-10,-2.3622037756082387e-09,-1.1899668408572325e-09,2.3164070763158917e-10,5.5944840919923035e-08,-3.8907582109656527e-10,-6.958308931620355e-10,8.343577695578361e-10,3.743404745030726e-09
2026-fifa-world-cup,6.371459331168959e-10,6.013105559326709e-05,0.0,-2.9695188648713723e-09,-4.144735980872827e-10,-1.8290768998744132e-09,-8.493269474920859e-11,-7.56785583033165e-09,-2.452093419774052e-10,-2.2236691561083175e-09,6.318321573737656e-11,-2.43761025131678e-10,-4.167200429056443e-09,-4.1886524548859743e-10,-4.3304552403591256e-11,-2.1421739858750717e-10,2.21393066371727e-09,-3.240081236335702e-09,2.2518479412233467e-10,-3.551744632539947e-11,1.548365639882333e-09,1.3729854270642424e-10,-3.5185141863479297e-09,-4.4237814121482035e-06,6.618668027455287e-10,1.3164766020938985e-09,-1.256047703464433e-10,-1.5210202132769995e-09,6.59967415484909e-11,1.1097709856622566e-09,5.91398613239778e-10,-5.4147611697023e-10,2.608961954716699e-09,1.314271972311691e-09,-2.558381286215904e-10,-2.6887742691109856e-10,4.2971907217431645e-10,7.685180871869176e-10,-9.21515620233974e-10,-4.134444564748044e-09
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.6886588597652176e-09,-2.9695188648713723e-09,0.0,6.833131621819694e-05,-1.7490154981994286e-09,1.5073833590118395e-06,-3.5840304450205195e-10,-3.193519972435131e-08,-1.0347461005982799e-09,-9.383545381055756e-09,2.666235534921548e-10,-1.028634423953041e-09,-1.7584951534085652e-08,-1.7675475817940354e-09,-1.8273861989282667e-10,-9.039648166796211e-10,9.342450425430566e-09,-1.3672649654713594e-08,9.502455565236095e-10,-1.4987821749383936e-10,6.5338673284159196e-09,5.793789524395882e-10,-1.484759432435767e-08,-9.826011497911283e-09,2.792977166911937e-09,5.5553308840535836e-09,4.03085096848868e-08,-6.107650719581904e-06,2.7849620417722425e-10,4.683064644726647e-09,2.495612132940214e-09,-2.2849467972295648e-09,1.100942234697127e-08,7.896663253700634e-08,-1.0795979624622438e-09,-1.1346218165733204e-09,8.143134828761449e-08,-4.912527225993909e-08,-3.888655656379373e-09,-1.744672677237126e-08
acquisitions,3.7527227889306816e-10,-4.144735980872827e-10,0.0,-1.7490154981994286e-09,3.517772998920963e-05,-1.0773071298260356e-09,-5.0024467322802024e-11,-4.457387791662384e-09,-1.444257332375451e-10,-1.3097178343974056e-09,3.721425206554254e-11,-4.090567363485694e-08,1.1882998102935302e-06,-2.467072409214738e-10,-2.5505927641155598e-11,-1.2617180329978166e-10,1.3039819644143235e-09,-1.908373900167666e-09,1.3263148435861158e-10,-2.0919403750711466e-11,9.11971138850091e-10,8.086740310508298e-11,-2.0723679904364845e-09,-1.3714754900412596e-09,3.89832612090763e-10,7.753909252160571e-10,-7.397989370687081e-11,-8.958649690919757e-10,3.887138928951949e-11,6.53643482901196e-10,3.4832758680415295e-10,-3.189237595656004e-10,1.536651255862486e-09,7.740924213734015e-10,-1.5068597720758617e-10,-1.5836598728052575e-10,2.531000311181267e-10,4.5264910118518134e-10,-5.427630451143298e-10,-2.435144529887923e-09
airdrops,1.6560810137342724e-09,-1.8290768998744132e-09,0.0,1.5073833590118395e-06,-1.0773071298260356e-09,8.025140934889583e-05,-2.2075856708583454e-10,-1.9670505144683308e-08,-6.373524722232789e-10,-5.779800323361492e-09,1.6422693535446784e-10,-6.335879813814776e-10,-1.0831461290547945e-08,-1.088721977669057e-09,-1.1255796092589942e-10,-5.567976630987069e-10,5.754487861156e-09,-8.421676635684655e-09,5.853043121586126e-10,-9.23175766470071e-11,-3.0776459922309126e-06,3.568688081820405e-10,-9.145384499371997e-09,-6.052337589546767e-09,-1.2003902284762424e-07,3.4218093413665137e-09,-3.2647414759068844e-10,-6.093047482477933e-06,1.7153990156089814e-10,2.8845364357228462e-09,1.5371737682511638e-09,-1.4074143302119062e-09,6.781260201449569e-09,3.4160790285216877e-09,-2.0457374959997867e-07,1.0862276639724834e-07,1.1169334365614282e-09,1.9975458474254457e-09,-2.395219749835652e-09,-1.0746321666876235e-08
anthropic,7.689967722467204e-11,-8.493269474920859e-11,0.0,-3.5840304450205195e-10,-5.0024467322802024e-11,-2.2075856708583454e-10,1.2368332703014363e-07,2.5117473552605835e-07,-2.9595290922272645e-11,-2.683834761726814e-10,7.625833649211076e-12,-2.942048780077883e-11,-5.029559968425372e-10,-5.055451271757191e-11,-5.226598694439788e-12,-2.5854749989068775e-11,2.672080987864167e-10,-3.910582934070489e-10,2.7178448584297216e-11,-4.286741884873877e-12,1.8687840845226838e-10,1.6571107290742747e-11,-4.2466347374605786e-10,-2.810386709533287e-10,7.988333731939586e-11,1.5889079803054611e-10,-1.5159739386971538e-11,-1.8357798013558576e-10,7.965409271519978e-12,1.3394267491161237e-10,7.137825120656698e-11,-6.535290654086442e-11,3.148859967255723e-10,1.5862471249214398e-10,-3.087812146350743e-11,-3.245188624420164e-11,5.186450423662939e-11,2.5564234987509364e-10,-1.1122138598110757e-10,-4.990025612768121e-10
awards,6.852080607518891e-09,-7.56785583033165e-09,0.0,-3.193519972435131e-08,-4.457387791662384e-09,-1.9670505144683308e-08,2.5117473552605835e-07,0.0006686359412493711,-2.637063331356954e-09,-2.3914082332080095e-08,6.794934484737685e-10,-2.621487647268876e-09,-4.4815468110886954e-08,-4.5046170376315025e-09,-4.657116499046591e-10,-2.3037655996233702e-09,2.38093513255839e-08,-3.484491802007276e-08,2.4217126418204807e-09,-3.8196650491720756e-10,1.6651642305059575e-08,1.4765544799396244e-09,-3.7839279151658104e-08,-2.5041712744461398e-08,7.117937113193363e-09,1.4157829983048681e-08,-1.3507957382579413e-09,-1.635756043525888e-08,7.097510466897832e-10,1.1934848602804682e-08,6.3600986186477426e-09,-5.8232153854860866e-09,2.8057650039786646e-08,1.4134120656515318e-08,-2.751368860217301e-09,-2.891597838071711e-09,4.621342722415818e-09,-1.5727931625759373e-07,-9.91028739686263e-09,-4.4463200583238125e-08
base,2.2201720204707658e-10,-2.452093419774052e-10,0.0,-1.0347461005982799e-09,-1.444257332375451e-10,-6.373524722232789e-10,-2.9595290922272645e-11,-2.637063331356954e-09,1.305780579631495e-06,-7.748504363865792e-10,2.2016558601769093e-11,-8.493994539541458e-11,-1.4520851998575314e-09,-1.4595602828885947e-10,-2.12527475845934e-07,-7.464529708530095e-11,7.714570021347619e-10,-1.1290251308321189e-09,7.846694977713173e-11,-1.2376260519233038e-11,5.395370028194476e-10,4.7842474874938034e-11,-1.2260467098870538e-09,-8.113872729242771e-10,2.3063133269101523e-10,4.5873392038697305e-10,-4.37677119583321e-11,-5.300083300489813e-10,2.2996948016510228e-11,3.413253043913783e-08,2.0607628265584017e-10,-1.886804987939704e-10,9.091079505127335e-10,4.579657043310255e-10,-8.914828227132535e-11,-9.369190151523522e-11,1.4973810725540914e-10,2.6779459237089034e-10,-3.2110747163708245e-10,-1.4406712286361982e-09
basketball,2.0133523475750743e-09,-2.2236691561083175e-09,0.0,-9.383545381055756e-09,-1.3097178343974056e-09,-5.779800323361492e-09,-2.683834761726814e-10,-2.3914082332080095e-08,-7.748504363865792e-10,0.0006513576196091527,1.9965610564261517e-10,-7.702738206226923e-10,-1.3168164984767175e-08,-1.3235952416686722e-09,6.912669918562669e-09,-6.769172962114441e-10,6.995920820459311e-09,-1.0238510244580576e-08,7.115737703393897e-10,-1.1223352488385456e-10,4.892765430850862e-09,4.338571886102658e-10,-1.1118345780542181e-08,-7.358026565834413e-09,2.0914691781377378e-09,4.1600065535806714e-09,-3.9690539654945574e-10,-4.806355118880398e-09,2.0854672002528542e-10,1.2102216703744352e-07,6.563974802055e-08,-1.7110400531393313e-09,-1.847465517294095e-05,4.153040023125225e-09,-1.8610318239098067e-07,-8.496405149023742e-10,1.3578928433672339e-09,2.4284824159865543e-09,-2.9119477044276424e-09,-1.3064657934224313e-08
