category,baseline_exposure,constrained_exposure,delta_exposure
congress,0.025,0.05139821767807007,0.026398217678070067
awards,0.025,0.05132408067584038,0.026324080675840376
abraham-accords,0.025,0.05132362246513367,0.026323622465133666
fifa-world-cup,0.025,0.05131186172366142,0.02631186172366142
best-of-2025,0.025,0.05130354315042496,0.026303543150424956
commodities,0.025,0.051289431750774384,0.026289431750774382
foreign-policy,0.025,0.05128353089094162,0.02628353089094162
celebrities,0.025,0.051270175725221634,0.026270175725221633
epstein,0.025,0.05126957222819328,0.02626957222819328
economic-policy,0.025,0.05120736360549927,0.026207363605499266
big-tech,0.025,0.04666287451982498,0.02166287451982498
basketball,0.025,0.04640337824821472,0.02140337824821472
bundesliga,0.025,0.03923449665307999,0.014234496653079985
bernie-sanders,0.025,0.03907204791903496,0.014072047919034956
airdrops,0.025,0.03769253194332123,0.012692531943321227
bitcoin,0.025,0.037624113261699677,0.012624113261699675
claude-5,0.025,0.036168571561574936,0.011168571561574935
formula1,0.025,0.02402305044233799,-0.0009769495576620116
colorado-midterm,0.025,0.01106625609099865,-0.013933743909001352
extended,0.025,0.011063393205404282,-0.01393660679459572
anthropic,0.025,0.011039076372981071,-0.01396092362701893
base,0.025,0.011012682691216469,-0.013987317308783533
champions-league,0.025,0.011009911075234413,-0.013990088924765588
comex-gold-futures,0.025,0.010983075015246868,-0.014016924984753133
france,0.025,0.01092633418738842,-0.014073665812611581
comex-silver-futures,0.025,0.01092522218823433,-0.014074777811765672
2026-nfl-draft,0.025,0.010922844521701336,-0.014077155478298665
democratic-primary,0.025,0.010920751839876175,-0.014079248160123826
climate-science,0.025,0.010920308530330658,-0.014079691469669343
connecticut-primary,0.025,0.010920276865363121,-0.01407972313463688
business,0.025,0.010917353443801403,-0.014082646556198598
crypto-prices,0.025,0.010912621393799782,-0.01408737860620022
colombia-election,0.025,0.010844206437468529,-0.014155793562531473
california-midterm,0.025,0.002594383666291833,-0.02240561633370817
2026-fifa-world-cup,0.025,0.002553461818024516,-0.022446538181975485
acquisitions,0.025,0.002538305940106511,-0.02246169405989349
brazil,0.025,0.002037828555330634,-0.022962171444669367
fdv,0.025,0.002033246448263526,-0.022966753551736475
delaware-midterm,0.025,0.0020209308713674545,-0.022979069128632547
2025-predictions,0.025,0.00197388487868011,-0.02302611512131989
