domain,total_contribution,contribution_share_of_total_return
basketball,0.04887892642196442,0.6456918078213914
economic-policy,-0.043926334067760864,-0.580267942268749
awards,0.0385728870280561,0.5095487765632245
airdrops,0.03360416826066424,0.4439118806998233
epstein,-0.014915210633796937,-0.19703029553131773
colombia-election,0.014042375562712551,0.18550012299616286
bitcoin,0.010266966757782884,0.1356268807838626
claude-5,-0.010017144399745626,-0.1323267213531351
congress,0.00945712046080336,0.1249287914878753
foreign-policy,-0.006570054665051272,-0.08679058205042771
fifa-world-cup,-0.006256200789526959,-0.08264456471507194
colorado-midterm,0.006202122472130268,0.08193018882591334
abraham-accords,0.0059098506405476535,0.07806927081636711
bernie-sanders,-0.005810398649275848,-0.07675550759085417
commodities,-0.0039679629450020265,-0.05241688708971611
big-tech,-0.0036947289694481663,-0.04880745962172003
comex-gold-futures,-0.0032072646251459815,-0.04236804376786631
crypto-prices,-0.003034282691273164,-0.04008294821076363
extended,0.002603166963604332,0.03438789895424734
comex-silver-futures,0.0025273565608079245,0.033386441687966555
france,0.0020994190126657486,0.02773337626035911
business,-0.0017454436769518003,-0.023057353459281036
best-of-2025,0.0017347067806943509,0.02291551879836778
2025-predictions,0.0012567765344378386,0.016602048611771815
base,0.001175422461732383,0.015527359331051165
champions-league,0.0007502326846433171,0.009910592025940218
bundesliga,0.000532414984517299,0.007033214905262166
democratic-primary,-0.0003444711585244678,-0.004550472389058942
climate-science,-0.00031322780146223074,-0.0041377468817560695
acquisitions,-0.00022187046026160453,-0.0029309141807194804
fdv,0.00019149342023975976,0.0025296327426076602
connecticut-primary,0.00018704045770932324,0.002470808999188729
anthropic,-0.000160594306998916,-0.0021214547045648093
brazil,-0.0001071700142089258,-0.001415718496380683
2026-fifa-world-cup,0.0,0.0
formula1,0.0,0.0
delaware-midterm,0.0,0.0
california-midterm,0.0,0.0
2026-nfl-draft,0.0,0.0
celebrities,0.0,0.0
