category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,0.9999999999999999,1.591046632263356e-05,0.0,6.298264365409541e-05,1.2251970428328202e-05,-1.662203388907815e-06,4.166399452957556e-05,5.131237091431225e-05,3.762230955449438e-05,1.5381727926076757e-05,-7.498547457947532e-06,-0.0008603225566708612,0.00816084935825345,1.7183262628598395e-05,-0.011213527310393889,1.3394283798518542e-05,1.1804138233990316e-05,3.5287100073445315e-05,-0.03579770289048651,0.0,-1.719419513164713e-05,2.300087240168185e-05,2.933788078094626e-05,3.4783420929735094e-05,-1.9731052412573455e-05,-3.0654824259990504e-05,6.08389958124218e-06,1.8993353687669307e-05,-3.1653695691854674e-06,-0.004751839817577266,-5.708134218355974e-05,-3.1832351248178075e-05,-2.5446874511324474e-05,3.218422560288559e-05,1.0160199632349547e-05,0.0026746914176969025,-3.181474006979815e-05,-1.8891564589520676e-05,1.0431241516215652e-05,6.306842998186427e-05
2026-fifa-world-cup,1.591046632263356e-05,0.9999999999999998,0.0,-4.8401520963408805e-05,-9.415514642203065e-06,1.2773863957741296e-06,-3.201835597308303e-05,-3.943303507759323e-05,-2.8912362183378578e-05,-1.1820701442073154e-05,5.7625574431944775e-06,-3.3683708229865226e-05,-2.197761600726346e-05,-1.3205162535024983e-05,-1.415718748944534e-05,-1.0293370847124164e-05,-9.071360156384235e-06,-2.7117777451880592e-05,3.1193052169334165e-05,0.0,1.3213564052407732e-05,-1.7675936466575285e-05,-2.2545862943445757e-05,-0.04860752442621793,1.5163113066868485e-05,2.355792061061268e-05,-4.675414940312257e-06,-1.4596199100948648e-05,2.4325543145077733e-06,3.574609796657148e-05,4.386643081371389e-05,0.08411431971058013,1.955566420611999e-05,-2.4733249984940367e-05,-7.808010063826658e-06,-9.343323940542803e-06,2.4449304111318704e-05,1.4517975214460647e-05,-8.016302994431514e-06,-4.846744688364706e-05
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,6.298264365409541e-05,-4.8401520963408805e-05,0.0,0.9999999999999998,-3.7271943606466045e-05,5.056619368797912e-06,-0.00012674680073794162,-0.00015609830322560922,-0.00011445151686115814,-4.679303620462743e-05,2.2811468540344536e-05,-0.00013333920888113416,-8.699986092694495e-05,-5.227351791410008e-05,-5.6042172285262686e-05,-4.0746996028746235e-05,-3.590958508706198e-05,-0.0001073475333349012,0.00012347978050585386,0.0,5.230677588182466e-05,-6.997137514084247e-05,-8.924930437902699e-05,-0.00010581528178810346,6.0024195872795786e-05,9.325560225339563e-05,0.0013463741110542981,-0.05262720309918151,9.62942873282933e-06,0.0001415033164081466,0.0001736481963691294,9.683777866784088e-05,7.741240295144688e-05,0.004501769336587181,-3.090852936208142e-05,-3.698617189207179e-05,0.004164063475964571,-0.0035961915526526726,-3.1733070840495006e-05,-0.00019186162579999658
acquisitions,1.2251970428328202e-05,-9.415514642203065e-06,0.0,-3.7271943606466045e-05,1.0,9.83660694112498e-07,-2.4655968127585068e-05,-3.0365695754784926e-05,-2.2264174996551726e-05,-9.102617206407323e-06,4.43749931358805e-06,-2.5938384757562607e-05,0.00784164484562738,-1.016873155064215e-05,-0.0069760359315955605,-7.926485161994621e-06,-6.985466932707709e-06,-2.088224195853813e-05,2.40204369248604e-05,0.0,1.0175201200269778e-05,-1.3611483566223433e-05,-1.7361605905369587e-05,-2.0584174117129414e-05,1.1676465612600084e-05,1.8140948280283804e-05,-3.6003373142727706e-06,-1.1239909385710164e-05,1.8732061601650613e-06,0.011159629999047408,3.37796644188435e-05,1.883778659878762e-05,1.5058981597467658e-05,-1.9046019222003465e-05,-6.012614996079621e-06,-7.194894624739586e-06,1.8827364634744244e-05,1.117967251240922e-05,-6.1730124837729435e-06,-3.7322710341320154e-05
airdrops,-1.662203388907815e-06,1.2773863957741296e-06,0.0,5.056619368797912e-06,9.83660694112498e-07,0.9999999999999998,3.3450320516370976e-06,4.1196608076553455e-06,3.0205416628270746e-06,-0.00032834449219468177,-6.020277669188258e-07,3.5190152717910933e-06,2.2960526150899236e-06,1.3795740157260476e-06,1.479034274996124e-06,1.0753723717720497e-06,9.477060752450127e-07,2.833057225736054e-06,-3.2588106454460797e-06,0.0,-1.3804517417700314e-06,1.846646157383084e-06,2.3554186929842806e-06,2.7926188832656348e-06,-1.5841256576046803e-06,-2.4611507092580313e-06,4.884514633793092e-07,1.5248988382095956e-06,-2.541346019207285e-07,-3.7344779200931825e-06,-4.582827962377104e-06,-0.014030891761145628,0.006588617288009492,2.583940100183734e-06,8.157209553469313e-07,9.761187637559378e-07,-2.554275614941936e-06,-0.019708367880528724,0.021171862457580962,5.06350680288266e-06
anthropic,4.166399452957556e-05,-3.201835597308303e-05,0.0,-0.00012674680073794162,-2.4655968127585068e-05,3.3450320516370976e-06,1.0,0.027620378047267545,-7.571145153248651e-05,-3.0954318385856e-05,1.5090139843863772e-05,-8.820595241940815e-05,-5.755175583993503e-05,-3.457974194249543e-05,-3.70727651945232e-05,-2.695476914183065e-05,-2.3754746860794323e-05,-7.101205637210516e-05,8.168378780293732e-05,0.0,3.460174260339115e-05,-4.6287148680290714e-05,-5.9039797532768317e-05,-6.999844823564241e-05,0.005309045873790559,6.1690025643837e-05,-1.2243290582852327e-05,-3.8222384382873385e-05,6.370016289742555e-06,9.360663603015581e-05,0.00011487097212572896,6.405969083850576e-05,5.120950385639808e-05,-6.476780574339458e-05,-2.0446471020359533e-05,-2.4466925711224688e-05,6.402424995531112e-05,3.801754314738514e-05,-2.099191798245681e-05,-0.00012691943786400186
awards,5.131237091431225e-05,-3.943303507759323e-05,0.0,-0.00015609830322560922,-3.0365695754784926e-05,4.1196608076553455e-06,0.027620378047267545,1.0,-9.324439788744316e-05,-3.812259204496881e-05,1.858465232534256e-05,-0.00010863232386856306,-7.087935460274785e-05,-4.258757626840168e-05,-4.565792358508517e-05,-3.319684364718076e-05,-2.925577337601184e-05,-8.745673613621031e-05,0.00010059978321222068,0.0,4.261467175180381e-05,-5.700613607663222e-05,-7.271199086676028e-05,-8.620840079901779e-05,0.007744221182985324,7.597594789676529e-05,-1.5078541428692921e-05,-4.707376685380608e-05,7.845158446279284e-06,0.00011528367556334454,0.00014147231909842186,-0.00033702741656489515,6.306839000643588e-05,-7.976646764515144e-05,-2.5181380631678284e-05,-3.0132875673648778e-05,7.88507222677769e-05,4.682148932802825e-05,-2.5853139956468054e-05,-0.00015631091894683312
base,3.762230955449438e-05,-2.8912362183378578e-05,0.0,-0.00011445151686115814,-2.2264174996551726e-05,3.0205416628270746e-06,-7.571145153248651e-05,-9.324439788744316e-05,0.9999999999999999,-2.795154332920283e-05,1.3626295770163555e-05,0.002069481701681094,-5.196885219629582e-05,-3.122527665348113e-05,-3.347646004512162e-05,-2.433997700110232e-05,-2.1450378195280722e-05,-6.412341392364926e-05,7.375991632593799e-05,0.0,3.124514310373402e-05,-4.179698695977738e-05,-5.3312543933727724e-05,-6.320813252762505e-05,3.585509827577873e-05,5.57056822660087e-05,-1.1055609849090095e-05,-3.451455851508817e-05,5.7520822817318584e-06,-0.00018749765775123026,0.00010372772272404355,5.7845474153486405e-05,4.624184089813701e-05,-5.8484897196156654e-05,-1.8463027146352666e-05,-2.2093470953706897e-05,5.7813471272019093e-05,3.432958824380118e-05,-1.8955562120139438e-05,-0.00011460740703612599
basketball,1.5381727926076757e-05,-1.1820701442073154e-05,0.0,-4.679303620462743e-05,-9.102617206407323e-06,-0.00032834449219468177,-3.0954318385856e-05,-3.812259204496881e-05,-2.795154332920283e-05,1.0,5.57105548965033e-06,-3.2564327470155066e-05,-2.1247253413724428e-05,-1.2766327096550181e-05,-1.3686714251192886e-05,-9.95130039573072e-06,-8.769899700957233e-06,-2.6216596438241685e-05,3.015644117042914e-05,0.0,1.2774449413767575e-05,-1.708852776871297e-05,-2.1796616304159304e-05,-2.5842387369842635e-05,1.4659210797304665e-05,2.2775041157724274e-05,-4.520041028030353e-06,-1.4111136579714328e-05,2.351715397426042e-06,3.455817964043576e-05,0.0014179218862857255,-0.003133313638087303,-0.040268080128341176,-2.3911311854814384e-05,-0.00095438666385493,-9.032825554218985e-06,2.3636802102225817e-05,1.4035512238172332e-05,0.008220418692706802,-4.6856771267310556e-05
