category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,fifa-world-cup,foreign-policy,formula1,france
2025-predictions,3.0416296876308416e-05,6.955070084454126e-10,0.0,2.934933714695117e-09,4.0964634078191595e-10,-5.83643498150494e-11,8.259213384446991e-11,7.479715144140819e-09,2.423534578079938e-10,2.2131127738649466e-09,-2.0850381038591216e-10,-9.228036431314332e-07,1.175302069848384e-06,4.13986839902326e-10,-1.453279647738641e-07,2.1172246885724643e-10,1.4474016992367202e-09,3.202344922393375e-09,-4.802644026701393e-07,0.0,-1.5303322612037806e-09,1.0743991358998924e-10,3.4775350422270847e-09,2.301403080043526e-09,-9.593957537486608e-10,-1.3011439697520888e-09,1.241418869491914e-10,1.503305319083202e-09,-3.914658326379818e-11,-6.279370305348036e-08,-5.845107600946191e-10,-1.6426456095200932e-09,-2.5785761093608945e-09,3.511525053581185e-09,2.5285845396658696e-10,5.84624421073325e-08,-4.247142551244671e-10,-4.682229487902307e-10,2.7097675653719667e-10,4.086291852920021e-09
2026-fifa-world-cup,6.955070084454126e-10,6.282476395110024e-05,0.0,-3.2415198385171802e-09,-4.524384090079844e-10,6.446114842058689e-11,-9.121979110527727e-11,-8.261053701074993e-09,-2.6766994344181504e-10,-2.444296757177396e-09,2.302843278498324e-10,-5.192543589870019e-08,-4.548906229106817e-09,-4.572323210263265e-10,-2.636915382193169e-10,-2.3383921061805957e-10,-1.5985987345772477e-09,-3.53686508957214e-09,6.0144424507433e-10,0.0,1.6901923063465938e-09,-1.186631948812904e-10,-3.840801845737781e-09,-4.622066229918334e-06,1.0596151978473655e-09,1.4370627757625328e-09,-1.3710987315381313e-10,-1.6603421027051733e-09,4.3235874672200396e-11,6.788834279744121e-10,6.455693412041341e-10,6.2381722049671865e-06,2.84793675978769e-09,-3.8783424878186935e-09,-2.792723020508218e-10,-2.935059695266654e-10,4.69080332817695e-10,5.171339883259878e-10,-2.992832607068569e-10,-4.51315000433923e-09
2026-nfl-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham-accords,2.934933714695117e-09,-3.2415198385171802e-09,0.0,7.139182501205289e-05,-1.9092212217797244e-09,2.7201623490528124e-10,-3.8493363418540344e-10,-3.486038922941038e-08,-1.1295264201202304e-09,-1.0314560276530221e-08,9.71764812669621e-10,-2.1911743608444083e-07,-1.9195691912052847e-08,-1.9294508008308025e-09,-1.1127381556218839e-09,-9.867658768739407e-10,-6.745843342206134e-09,-1.4925032342829895e-08,2.5380031702676334e-09,0.0,7.132354273902277e-09,-5.007406210456149e-10,-1.620759919258625e-08,-1.0726051139383933e-08,4.47141485420339e-09,6.064186182890885e-09,4.208943832468471e-08,-6.3815606508786165e-06,1.8244881031955502e-10,2.8647847353304113e-09,2.7242043597928472e-09,7.65580830423879e-09,1.2017859650764409e-08,7.525008918184775e-07,-1.1784866074914738e-09,-1.238550517777616e-09,8.51641610519163e-08,-1.3655218623191458e-07,-1.2629298072144642e-09,-1.9044806085877634e-08
acquisitions,4.0964634078191595e-10,-4.524384090079844e-10,0.0,-1.9092212217797244e-09,3.675360481587448e-05,3.7966941026402427e-11,-5.37275012033147e-11,-4.865674074531585e-09,-1.5765479216855945e-10,-1.4396651797957452e-09,1.356350562936113e-10,-3.0583537694252105e-08,1.2414182055366982e-06,-2.693050464211925e-10,-9.93830811142807e-08,-1.3772884499772784e-10,-9.415579053068047e-10,-2.0831764801636195e-09,3.5424435870130947e-10,0.0,9.955055594050715e-10,-6.989137848842373e-11,-2.262192045040029e-09,-1.4970994330427738e-09,6.241022493867947e-10,8.464149180621118e-10,-8.075627871538398e-11,-9.779241022164854e-10,2.5465477176949527e-11,1.621066756433619e-07,3.802335779999471e-10,1.0685671849610749e-09,1.6774049121846468e-09,-2.2843030898926526e-09,-1.6448845982524968e-10,-1.7287194083491168e-10,2.762834012284267e-10,3.045865008394205e-10,-1.762747048082864e-10,-2.6581980659113145e-09
airdrops,-5.83643498150494e-11,6.446114842058689e-11,0.0,2.7201623490528124e-10,3.7966941026402427e-11,4.053410968155485e-05,7.654824082970602e-12,6.932367642534347e-10,2.24618616696975e-11,-5.4536254190778284e-08,-1.9324600477557728e-11,4.357388593200053e-09,3.8172721655938356e-10,3.8369228213482404e-11,2.212800876628438e-11,1.9622912958834233e-11,1.3414843362582535e-10,2.968005049982772e-10,-5.0470954120510835e-11,0.0,-1.4183462398570006e-10,9.957772002476408e-12,3.2230574210296996e-10,2.1329919571901864e-10,-8.891894880359781e-11,-1.2059293944176011e-10,1.1505748328450656e-11,1.3932970641300474e-10,-3.6281930782657946e-12,-5.696936104569128e-11,-5.417376734149092e-11,-8.358292845009769e-07,7.707205481982459e-07,3.2545601253909587e-10,2.343548825909651e-11,2.462992445833759e-11,-3.936346910021269e-11,-5.638876442441225e-07,6.349101255297239e-07,3.787266877579769e-10
anthropic,8.259213384446991e-11,-9.121979110527727e-11,0.0,-3.8493363418540344e-10,-5.37275012033147e-11,7.654824082970602e-12,1.2919604641118245e-07,2.6240012521965766e-07,-3.1786066173942865e-11,-2.9026261773496734e-10,2.7346487953543562e-11,-6.1661960262103386e-09,-5.401870398978326e-10,-5.4296782919028796e-11,-3.1313626683563413e-11,-2.7768633740470937e-11,-1.8983515485329532e-10,-4.2000617006102435e-10,7.142208918957174e-11,0.0,2.0071198060345905e-10,-1.4091369828111367e-11,-4.560989555263919e-10,-3.0184240512521e-10,1.6824240286526903e-08,1.7065260260133124e-10,-1.628193081796693e-11,-1.9716723988265022e-10,5.134302177330804e-12,8.061806749205797e-11,7.666198728003634e-11,2.1544252975300075e-10,3.3819526070732696e-10,-4.6055694329318565e-10,-3.3163857545576714e-11,-3.48541194048934e-11,5.570374584503695e-11,6.14101641834028e-11,-3.554017835270521e-11,-5.359409534229227e-10
awards,7.479715144140819e-09,-8.261053701074993e-09,0.0,-3.486038922941038e-08,-4.865674074531585e-09,6.932367642534347e-10,2.6240012521965766e-07,0.0006985855769594165,-2.878612156717227e-09,-2.628678539458328e-08,2.4765547342601843e-09,-5.584235162859276e-07,-4.892046003558998e-08,-4.917229408824494e-09,-2.8358270554445396e-09,-2.514785133313438e-09,-1.719186581763764e-08,-3.8036630906690774e-08,6.468132705511947e-09,0.0,1.81768937433834e-08,-1.2761437124689688e-09,-4.1305268505372584e-08,-2.733547498615927e-08,1.804604052737499e-06,1.5454654052987007e-08,-1.47452546442663e-09,-1.7855874663026485e-08,4.649730665960045e-10,7.300939596103061e-09,6.942668757271867e-09,-8.334835417773778e-08,3.062766507465051e-08,-4.170899313457886e-08,-3.003387804326393e-09,-3.156461428147602e-09,5.044646892973013e-09,5.561431987115803e-09,-3.2185923510679692e-09,-4.853592562739173e-08
base,2.423534578079938e-10,-2.6766994344181504e-10,0.0,-1.1295264201202304e-09,-1.5765479216855945e-10,2.24618616696975e-11,-3.1786066173942865e-11,-2.878612156717227e-09,1.3642727277902412e-06,-8.517294057681305e-10,8.024391193144999e-11,4.7011814185065106e-07,-1.5850928034967419e-09,-1.5932525866272899e-10,-9.188484847190736e-11,-8.148263148498017e-11,-5.570410165071053e-10,-1.2324411887295046e-09,2.0957674143108653e-10,0.0,5.889573287250597e-10,-4.1348879658748394e-11,-1.3383497172090792e-09,-8.857084469198015e-10,3.692290717791551e-10,5.007528731761611e-10,-4.7776731873217087e-11,-5.785558518442181e-10,1.5065791718734196e-11,-5.247441177422826e-10,2.2495238753288733e-10,6.321817782655498e-10,9.92380109721365e-10,-1.3514309720436197e-09,-9.731405614920084e-11,-1.0227386027507046e-10,1.634537672053023e-10,1.801983426464196e-10,-1.0428699095134627e-10,-1.5726333392421218e-09
basketball,2.2131127738649466e-09,-2.444296757177396e-09,0.0,-1.0314560276530221e-08,-1.4396651797957452e-09,-5.4536254190778284e-08,-2.9026261773496734e-10,-2.628678539458328e-08,-8.517294057681305e-10,0.0006805977372267522,7.327678677523465e-10,-1.6522744426799307e-07,-1.4474681578338805e-08,-1.454919473132454e-09,-8.390700661632359e-10,-7.440795531393582e-10,-5.08676294676747e-09,-1.1254352888067706e-08,1.9138037796580498e-09,0.0,5.378214939666834e-09,-3.7758790233676966e-10,-1.2221483785886717e-08,-8.088073904649408e-09,3.371709991792854e-09,4.572753325656153e-09,-4.3628548384861856e-10,-5.283231185111519e-09,1.3757714209114051e-10,2.1602163143885506e-09,6.868196649366823e-08,-7.648409093253572e-07,-1.9301831134343027e-05,-1.2340938620302594e-08,-1.1235481274899378e-07,-9.339399926637016e-10,1.4926200080256272e-09,1.645527394356597e-09,1.0101411393924692e-06,-1.4360904784119682e-08
