category,baseline_exposure,constrained_exposure,delta_exposure
abraham-accords,0.025,0.04446185752749443,0.01946185752749443
brazil,0.025,0.043623946607112885,0.018623946607112883
congress,0.025,0.04099350795149803,0.01599350795149803
fifa-world-cup,0.025,0.04010016843676567,0.01510016843676567
comex-gold-futures,0.025,0.03968299552798271,0.01468299552798271
business,0.025,0.0396500788629055,0.014650078862905501
commodities,0.025,0.03901005908846855,0.01401005908846855
bundesliga,0.025,0.03846372663974762,0.013463726639747618
economic-policy,0.025,0.0349610336124897,0.009961033612489699
2026-nfl-draft,0.025,0.03381073474884033,0.00881073474884033
champions-league,0.025,0.03381073474884033,0.00881073474884033
awards,0.025,0.03247881308197975,0.00747881308197975
democratic-primary,0.025,0.032237108796834946,0.007237108796834944
basketball,0.025,0.03202962130308151,0.007029621303081511
airdrops,0.025,0.031363531947135925,0.006363531947135924
anthropic,0.025,0.030656222254037857,0.005656222254037856
celebrities,0.025,0.02901867777109146,0.00401867777109146
climate-science,0.025,0.027506105601787567,0.0025061056017875658
california-midterm,0.025,0.026594221591949463,0.0015942215919494615
france,0.025,0.024719547480344772,-0.00028045251965522905
foreign-policy,0.025,0.024671297520399094,-0.00032870247960090776
bernie-sanders,0.025,0.024600906297564507,-0.00039909370243549486
delaware-midterm,0.025,0.023156581446528435,-0.0018434185534715666
base,0.025,0.0230905469506979,-0.0019094530493021025
comex-silver-futures,0.025,0.021180177107453346,-0.003819822892546655
fdv,0.025,0.020781632512807846,-0.004218367487192155
2026-fifa-world-cup,0.025,0.020055344328284264,-0.004944655671715738
colombia-election,0.025,0.018830228596925735,-0.006169771403074266
extended,0.025,0.0181362833827734,-0.006863716617226602
connecticut-primary,0.025,0.01673363335430622,-0.00826636664569378
formula1,0.025,0.016241323202848434,-0.008758676797151567
2025-predictions,0.025,0.015373677015304565,-0.009626322984695436
crypto-prices,0.025,0.013647956773638725,-0.011352043226361276
colorado-midterm,0.025,0.010666055604815483,-0.014333944395184518
bitcoin,0.025,0.010062973015010357,-0.014937026984989644
epstein,0.025,0.009663550183176994,-0.015336449816823007
acquisitions,0.025,0.008855082094669342,-0.01614491790533066
best-of-2025,0.025,0.004397250711917877,-0.020602749288082124
claude-5,0.025,0.0023423314560204744,-0.022657668543979527
big-tech,0.025,0.0023418229538947344,-0.022658177046105267
