domain,total_contribution,contribution_share_of_total_return
economic-policy,-0.04523804663939634,1.5690930509392607
colombia-election,0.036827390625452004,-1.2773673270034347
basketball,0.017015582647372927,-0.5901897732786767
business,-0.012581052818256814,0.43637698833430427
congress,0.01120490993848723,-0.38864512566219817
foreign-policy,-0.009164891580442569,0.3178865746816001
bernie-sanders,-0.00878890038072278,0.30484522514240814
celebrities,-0.008516389236319814,0.29539310740632047
abraham-accords,0.007212273352763707,-0.2501595192538788
best-of-2025,-0.007078416169337831,0.24551664910508392
democratic-primary,0.006407466163623688,-0.2222445790290766
comex-gold-futures,-0.0047324727090889245,0.16414700883933256
france,0.004138585031879219,-0.14354786505276868
extended,-0.0041169958127710024,0.14279903754595924
awards,-0.0038957154484170874,0.13512387232972592
comex-silver-futures,0.003855383300208574,-0.13372494160250223
bitcoin,0.0036569671795531073,-0.1268428284423887
colorado-midterm,-0.0035793959110310553,0.12415224944014468
fifa-world-cup,-0.0033671152157864655,0.11678924001553427
connecticut-primary,-0.003127379864945317,0.10847395894100308
acquisitions,-0.0030628510420701413,0.10623576045365832
fdv,0.002755291911763066,-0.09556799449186536
2025-predictions,-0.0026603000750617736,0.09227317869108427
airdrops,0.00265528161260088,-0.09209911205561354
epstein,-0.0023021066158042044,0.07984914826613913
base,0.002075245130378901,-0.07198040045869951
brazil,-0.0019682526254098643,0.06826933845401742
crypto-prices,-0.0011391322666101614,0.039511089810896065
climate-science,-0.0007112327630794745,0.02466928766938521
commodities,-0.00040748156225365245,0.014133600701522503
bundesliga,0.00036786963494755466,-0.012759651017846714
big-tech,-0.00033338432202237376,0.011563519246249751
claude-5,-0.00011677969362747302,0.004050533110377662
anthropic,-0.00011465098240222054,0.003976698224940958
2026-fifa-world-cup,0.0,-0.0
delaware-midterm,0.0,-0.0
champions-league,0.0,-0.0
formula1,0.0,-0.0
california-midterm,0.0,-0.0
2026-nfl-draft,0.0,-0.0
