token_id,domain,question,market_id,market_slug,mean_weight,total_contribution,mean_step_contribution,contribution_share_of_total_return
9556122149160720922715284597610520228366807023831966638741974320131898296289,economic-policy,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,669663,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,0.0349609599794528,-0.04523804663939634,-2.350028396851758e-05,1.5690930509392607
36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,Will Daniel Quintero win the 2026 Colombian presidential election?,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,0.018830175921687547,0.036827390625452004,1.9131112013221822e-05,-1.2773673270034347
19063193541024384703688685779087142926481547676681055667364352656903314720497,basketball,Will JB Bickerstaff win the 2025–2026 NBA Coach of the Year?,643794,nba-2025-26-coach-of-the-year-jb-bickerstaff,0.03202946793434835,0.017015582647372927,8.839263712921002e-06,-0.5901897732786767
73927186257882802877663040737479279251981612783026680169571204930062095676076,business,Will Saudi Aramco be the largest company in the world by market cap on December 31?,676744,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31-584,0.03964997245466175,-0.012581052818256814,-6.535611853639903e-06,0.43637698833430427
35772478648141184011258957985537045975935629101627518451751092071575033100741,congress,Will the number of Democratic House members who retire in 2026 be between 24 and 27 inclusive?,909072,will-the-number-of-democratic-house-members-who-retire-in-2026-be-between-24-and-27-inclusive,0.04099344354000603,0.01120490993848723,5.8207324355777816e-06,-0.38864512566219817
5161623255678193352839985156330393796378434470119114669671615782853260939535,foreign-policy,Will Trump acquire Greenland before 2027?,997488,will-trump-acquire-greenland-before-2027,0.024671273290641928,-0.009164891580442569,-4.760982639190945e-06,0.3178865746816001
7096166888327966243811396544854606771946352128513885963401994819079689910004,bernie-sanders,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,593972,will-bernie-endorse-james-talarico-for-tx-sen-by-nov-2-2026-et,0.024600870234119953,-0.00878890038072278,-4.565662535440405e-06,0.30484522514240814
57955640188079704627338459527408392992687219573092607243447477832343715648687,celebrities,Will Bernie Sanders announce a Presidential run before 2027?,692286,will-bernie-sanders-announce-a-presidential-run-before-2027,0.02901867650838587,-0.008516389236319814,-4.424098304581721e-06,0.29539310740632047
70026524713009669538763377800911903794570186848119999786864842995489783143838,abraham-accords,Will Somaliland join the Abraham Accords before 2027?,1076686,will-somaliland-join-the-abraham-accords-before-2027,0.04446182814830583,0.007212273352763707,3.7466355079291985e-06,-0.2501595192538788
54629028506523833335885803700179643513606668084450837932008867003134712218517,best-of-2025,Will Charlotte rank #1 among girl names on the SSA’s official list for 2025?,651522,will-charlotte-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,0.004397259137482464,-0.007078416169337831,-3.677099308746925e-06,0.24551664910508392
36538842701383075131399258783814730353525125143988435459349182813934073807848,democratic-primary,Will Janet Mills be the Democratic nominee for Senate in Maine?,599324,will-janet-mills-be-the-democratic-nominee-for-senate-in-maine,0.03223712538708986,0.006407466163623688,3.3285538512330846e-06,-0.2222445790290766
13516120433742364095801101793558742894298506681439248699088928599069619128824,comex-gold-futures,"Will Gold (GC) hit (HIGH) $8,000 by end of June?",1032267,gc-hit-8000-high-jun-2026-342-647-753,0.039682933446309035,-0.0047324727090889245,-2.458427381344896e-06,0.16414700883933256
63931284508031754808359645663279593286333277328858705756576520335090573316938,france,Will François Bayrou win the 2027 French presidential election?,679041,will-franois-bayrou-win-the-2027-french-presidential-election,0.02471955795207306,0.004138585031879219,2.149914302274919e-06,-0.14354786505276868
30168634295384984099987626703440157654602987915064535215384295190163901851184,extended,Extended FDV above $300M one day after launch?,904737,extended-fdv-above-300m-one-day-after-launch-351-333,0.01813620628187525,-0.0041169958127710024,-2.138699123517404e-06,0.14279903754595924
47252200832793247423089215877857667425039333476763845614656878203768571431091,awards,Will Victor Wembanyama win the 2025–2026 NBA MVP?,564166,will-victor-wembanyama-win-the-20252026-nba-mvp,0.032478668873076245,-0.0038957154484170874,-2.0237482848919935e-06,0.13512387232972592
