category_a,category_b,correlation,abs_correlation
comex-silver-futures,commodities,-0.07404173370096565,0.07404173370096565
delaware-midterm,economic-policy,0.07379408566209812,0.07379408566209812
business,commodities,-0.06986520199475969,0.06986520199475969
california-midterm,commodities,0.05374428876885901,0.05374428876885901
abraham-accords,congress,-0.05262449011261048,0.05262449011261048
base,brazil,-0.05088360520603194,0.05088360520603194
big-tech,celebrities,-0.04870037284819816,0.04870037284819816
2026-fifa-world-cup,colorado-midterm,-0.04860630477715454,0.04860630477715454
airdrops,congress,-0.04844308914050324,0.04844308914050324
basketball,economic-policy,-0.04027078508868158,0.04027078508868158
extended,fifa-world-cup,0.03963917610791424,0.03963917610791424
california-midterm,comex-silver-futures,0.03509269553169825,0.03509269553169825
anthropic,awards,0.027620117088513297,0.027620117088513297
airdrops,claude-5,-0.021759936097144657,0.021759936097144657
colorado-midterm,democratic-primary,0.02149578322567037,0.02149578322567037
abraham-accords,airdrops,0.020355767852038333,0.020355767852038333
congress,foreign-policy,-0.0178343732914598,0.0178343732914598
colorado-midterm,congress,-0.014664731622422955,0.014664731622422955
claude-5,commodities,0.014537974798449047,0.014537974798449047
bernie-sanders,big-tech,0.013962522493350466,0.013962522493350466
best-of-2025,formula1,-0.013413524720265106,0.013413524720265106
bernie-sanders,celebrities,-0.011942184426233807,0.011942184426233807
brazil,crypto-prices,-0.010937833350446244,0.010937833350446244
bernie-sanders,business,-0.010294836729250554,0.010294836729250554
extended,fdv,-0.010175806321922568,0.010175806321922568
connecticut-primary,crypto-prices,-0.009229385690267034,0.009229385690267034
2025-predictions,big-tech,0.008159612732423294,0.008159612732423294
comex-gold-futures,fdv,0.007927762401846639,0.007927762401846639
base,crypto-prices,0.007900600302755087,0.007900600302755087
acquisitions,big-tech,0.007842362565484881,0.007842362565484881
2025-predictions,comex-gold-futures,0.007498603533704926,0.007498603533704926
champions-league,democratic-primary,0.0068298253553652445,0.0068298253553652445
bernie-sanders,bundesliga,-0.006730641657725499,0.006730641657725499
brazil,commodities,-0.006407421105474955,0.006407421105474955
champions-league,colorado-midterm,0.006363148991395194,0.006363148991395194
commodities,crypto-prices,0.005915079123243626,0.005915079123243626
comex-silver-futures,crypto-prices,-0.00564670336534253,0.00564670336534253
2025-predictions,celebrities,-0.005417127558288516,0.005417127558288516
claude-5,climate-science,0.005375241330406087,0.005375241330406087
comex-gold-futures,democratic-primary,0.005215694882573374,0.005215694882573374
airdrops,extended,-0.005172703553106389,0.005172703553106389
bernie-sanders,bitcoin,0.004575769772957182,0.004575769772957182
best-of-2025,big-tech,0.004525558381182146,0.004525558381182146
business,claude-5,0.0043167031290640675,0.0043167031290640675
abraham-accords,fifa-world-cup,0.004159892623468465,0.004159892623468465
acquisitions,best-of-2025,-0.004098869800749883,0.004098869800749883
connecticut-primary,epstein,-0.003140026239253188,0.003140026239253188
airdrops,fdv,0.003127234811212715,0.003127234811212715
brazil,california-midterm,-0.00307234974783104,0.00307234974783104
2025-predictions,fdv,0.002674168573031458,0.002674168573031458
best-of-2025,bundesliga,0.002568744460768828,0.002568744460768828
congress,epstein,0.0022694370159553547,0.0022694370159553547
best-of-2025,colombia-election,0.002111572153773158,0.002111572153773158
abraham-accords,epstein,0.002077718475013772,0.002077718475013772
epstein,fifa-world-cup,0.002069601494705262,0.002069601494705262
awards,foreign-policy,-0.0017483548662417447,0.0017483548662417447
colorado-midterm,fdv,-0.0017344009360505893,0.0017344009360505893
abraham-accords,foreign-policy,-0.0017082361573604412,0.0017082361573604412
basketball,extended,-0.0016517262437064067,0.0016517262437064067
bitcoin,comex-silver-futures,0.0014706949280214364,0.0014706949280214364
bernie-sanders,best-of-2025,0.0014295802079055616,0.0014295802079055616
basketball,delaware-midterm,0.001415880690431422,0.001415880690431422
abraham-accords,commodities,0.0013471620131723862,0.0013471620131723862
bitcoin,foreign-policy,0.001333904791038977,0.001333904791038977
business,comex-silver-futures,-0.001332160237855578,0.001332160237855578
basketball,crypto-prices,0.0012542435713657008,0.0012542435713657008
airdrops,comex-gold-futures,-0.001186534876054113,0.001186534876054113
